492
0 0
11.163 15.552 0.74904
13.576 14.79 0.74904
11.481 17.711 0.74904
11.862 17.965 0.74904
12.052 18.854 0.74904
12.37 19.934 0.74904
13.005 20.061 0.74904
11.608 20.251 0.74904
11.735 20.378 0.74904
12.243 20.505 0.74904
13.513 22.41 0.74904
17.323 21.331 0.74904
17.45 21.902 0.74904
17.64 22.918 0.74904
17.64 23.426 0.74904
17.323 23.934 0.74904
17.45 24.188 0.74904
16.497 24.315 0.74904
17.577 25.204 0.74904
22.974 17.711 0.74904
22.149 14.282 0.74904
22.276 13.393 0.74904
21.831 13.203 0.74904
26.149 11.107 0.74904
25.07 11.615 0.74904
23.482 9.52 0.74904
22.212 10.091 0.74904
22.085 10.853 0.74904
22.022 11.361 0.74904
22.149 11.742 0.74904
20.244 11.234 0.74904
20.434 13.012 0.74904
19.482 13.076 0.74904
19.418 13.901 0.74904
18.466 14.155 0.74904
17.577 13.647 0.74904
18.021 13.52 0.74904
18.339 12.631 0.74904
17.323 12.504 0.74904
20.434 15.806 0.74904
20.498 17.457 0.74904
19.99 18.029 0.74904
19.609 18.156 0.74904
20.561 18.219 0.74904
20.117 18.283 0.74904
20.434 18.537 0.74904
18.466 17.838 0.74904
18.212 18.283 0.74904
18.466 18.664 0.74904
18.148 16.505 0.74904
16.688 18.092 0.74904
18.593 21.648 0.74904
19.863 21.331 0.74904
20.117 21.775 0.74904
19.482 21.966 0.74904
18.91 22.474 0.74904
20.117 22.728 0.74904
20.371 23.045 0.74904
20.561 23.553 0.74904
18.974 24.125 0.74904
18.974 24.569 0.74904
19.164 24.696 0.74904
20.561 24.696 0.74904
21.577 21.394 0.74904
16.37 26.982 0.74904
17.069 27.046 0.74904
17.64 27.49 0.74904
17.069 27.744 0.74904
17.64 27.998 0.74904
18.72 30.665 0.74904
18.529 30.03 0.74904
18.72 29.967 0.74904
18.974 29.967 0.74904
22.149 29.713 0.74904
21.958 29.395 0.74904
22.466 28.887 0.74904
18.91 28.697 0.74904
22.022 28.443 0.74904
19.037 28.189 0.74904
18.72 28.189 0.74904
20.117 27.617 0.74904
19.037 26.982 0.74904
19.545 25.839 0.74904
20.561 25.776 0.74904
20.942 25.649 0.74904
21.958 24.76 0.74904
25.895 29.903 0.74904
26.086 29.903 0.74904
25.07 30.03 0.74904
