99
2.78 1.65
29.95 2.64 0.7798
2.02 2.33 0.7798
9.81 8.48 0.7798
13.46 4.08 0.7798
7.81 6.7 0.7798
10.09 10.01 0.7798
29.27 17.77 0.7798
29.82 9.49 0.7798
5.55 11.21 0.7798
4.64 13.02 0.7798
34.52 6.37 0.7798
5.71 19.82 0.7798
26.56 1.28 0.7798
16.23 17.23 0.7798
20.67 6.94 0.7798
17.25 9.27 0.7798
36 4.59 0.7798
11.09 11.96 0.7798
3.66 3.39 0.7798
7.78 12.82 0.7798
3.86 16.16 0.7798
39.18 12.17 0.7798
33.32 10.49 0.7798
25.97 3.49 0.7798
8.11 12.95 0.7798
2.41 10.69 0.7798
26.58 3.6 0.7798
3.94 19.44 0.7798
37.86 18.62 0.7798
2.64 0.36 0.7798
20.5 18.33 0.7798
35.38 1.25 0.7798
16.46 18.17 0.7798
29.93 6.24 0.7798
5.47 0.25 0.7798
33.73 19.02 0.7798
4.6 2.67 0.7798
30.6 7.81 0.7798
18.28 4.56 0.7798
10.21 9.62 0.7798
23.47 3.88 0.7798
35.35 11.12 0.7798
15.29 5.81 0.7798
12.03 3.85 0.7798
17.87 19.02 0.7798
27.4 11.01 0.7798
5.55 17.53 0.7798
0.47 3.63 0.7798
39.35 5.4 0.7798
30.62 3.29 0.7798
3.87 1.99 0.7798
29.01 9.2 0.7798
9.31 5.12 0.7798
17.66 6.92 0.7798
4.01 9.8 0.7798
1.49 16.29 0.7798
22.14 19.77 0.7798
38.05 16.19 0.7798
11.79 9.69 0.7798
10.17 3.33 0.7798
28.34 15.12 0.7798
6.34 2.94 0.7798
18.19 8.14 0.7798
13.93 8.59 0.7798
17.68 15.78 0.7798
30.23 8.71 0.7798
32.48 19.06 0.7798
16.32 17.42 0.7798
22.23 9.9 0.7798
38.68 6.97 0.7798
15.41 3.54 0.7798
23.74 19.44 0.7798
19.62 3.89 0.7798
30.07 15.24 0.7798
32.2 19.45 0.7798
23.56 15.68 0.7798
16.04 7.06 0.7798
20.28 17.36 0.7798
25.81 1.21 0.7798
22.21 15.78 0.7798
29.44 6.32 0.7798
10.82 15.61 0.7798
9.97 9.42 0.7798
23.34 5.23 0.7798
12.64 10.9 0.7798
16.99 12.94 0.7798
2.35 10.59 0.7798
25.92 2.48 0.7798
36.42 6.99 0.7798
35.99 5.14 0.7798
17.66 6.78 0.7798
2.4 6.19 0.7798
12.72 2.46 0.7798
35.03 3.01 0.7798
0.8 15.33 0.7798
16.77 12.38 0.7798
37.66 1.54 0.7798
39.46 4.59 0.7798
19.94 18.52 0.7798
