399
2.28315 35.5085
43.5841 58.7522 1.9910618
60.2539 80.1704 1.9910618
86.1563 95.4019 1.9910618
44.4217 55.3301 1.9910618
79.6042 79.6519 1.9910618
8.89064 83.8954 1.9910618
23.3569 85.0798 1.9910618
47.6864 20.3976 1.9910618
40.6271 60.1839 1.9910618
95.4573 78.5053 1.9910618
59.3326 96.8644 1.9910618
94.61 43.2995 1.9910618
8.30742 60.1487 1.9910618
86.1254 75.412 1.9910618
24.7619 69.8637 1.9910618
96.3227 96.5824 1.9910618
12.5872 53.6987 1.9910618
56.3237 2.07366 1.9910618
5.5259 61.9092 1.9910618
69.1414 57.6653 1.9910618
23.7167 70.7298 1.9910618
58.3448 60.9201 1.9910618
40.4171 94.2218 1.9910618
1.5771 61.4642 1.9910618
2.00806 6.28968 1.9910618
19.6656 61.3862 1.9910618
91.3249 42.8902 1.9910618
82.834 58.4111 1.9910618
4.96047 4.06059 1.9910618
27.1361 73.6904 1.9910618
97.9153 71.697 1.9910618
48.9418 95.7946 1.9910618
81.7106 28.112 1.9910618
33.2771 46.652 1.9910618
27.8353 94.5623 1.9910618
16.854 97.4806 1.9910618
80.6139 53.7748 1.9910618
44.5404 30.686 1.9910618
30.6696 55.2626 1.9910618
55.5492 35.9315 1.9910618
15.6444 17.8995 1.9910618
14.0141 70.4084 1.9910618
96.3235 44.2629 1.9910618
46.0829 25.5503 1.9910618
38.5534 48.7846 1.9910618
93.1464 19.8146 1.9910618
27.9893 89.6021 1.9910618
33.1283 92.3481 1.9910618
3.35356 88.986 1.9910618
51.1528 6.04103 1.9910618
23.2874 32.7742 1.9910618
87.0562 74.7862 1.9910618
12.6307 2.70835 1.9910618
2.57158 38.4711 1.9910618
55.099 31.771 1.9910618
42.1545 66.9856 1.9910618
69.9395 64.1832 1.9910618
3.06059 88.1315 1.9910618
48.6626 98.7924 1.9910618
54.7886 87.0165 1.9910618
76.419 22.7841 1.9910618
48.934 88.5471 1.9910618
90.8764 48.3318 1.9910618
19.5225 82.1483 1.9910618
17.1854 11.1942 1.9910618
59.9164 58.75 1.9910618
13.2524 50.7626 1.9910618
32.7208 86.88 1.9910618
26.7929 78.8352 1.9910618
79.2919 13.6517 1.9910618
15.6993 18.7479 1.9910618
18.6101 90.3489 1.9910618
74.5996 81.8744 1.9910618
67.267 14.1516 1.9910618
79.5061 49.6701 1.9910618
29.8827 79.684 1.9910618
9.16001 37.8018 1.9910618
91.7898 10.5225 1.9910618
37.0272 27.4581 1.9910618
78.9206 73.8168 1.9910618
80.035 15.8589 1.9910618
74.8357 53.7031 1.9910618
48.6979 8.85907 1.9910618
14.8737 9.51072 1.9910618
23.1984 1.0131 1.9910618
97.2905 22.0419 1.9910618
4.056 25.9589 1.9910618
19.247 29.2712 1.9910618
2.40393 50.9808 1.9910618
31.6686 31.1822 1.9910618
49.4944 16.327 1.9910618
52.5118 68.1256 1.9910618
83.5669 88.2708 1.9910618
77.5205 18.1054 1.9910618
10.9477 2.73525 1.9910618
65.3011 67.1869 1.9910618
62.8285 19.7058 1.9910618
0.194865 71.2335 1.9910618
73.064 44.6995 1.9910618
58.0371 93.3465 1.9910618
37.7453 86.3505 1.9910618
25.8125 25.1372 1.9910618
65.9297 69.3415 1.9910618
70.0979 43.9308 1.9910618
80.1207 32.7664 1.9910618
75.5117 58.1702 1.9910618
16.8354 77.4785 1.9910618
60.771 67.3196 1.9910618
56.9788 35.9946 1.9910618
50.5772 79.5094 1.9910618
69.2786 47.5055 1.9910618
61.5258 41.6034 1.9910618
43.3068 85.4106 1.9910618
22.6997 14.9199 1.9910618
32.641 61.5676 1.9910618
75.6359 99.7073 1.9910618
17.5187 55.1629 1.9910618
20.7262 75.308 1.9910618
12.7313 98.6134 1.9910618
24.5176 59.5849 1.9910618
36.8488 32.2474 1.9910618
61.8453 80.8454 1.9910618
28.4623 90.5817 1.9910618
34.7487 93.2543 1.9910618
94.2046 73.3577 1.9910618
92.3029 41.017 1.9910618
15.3759 23.0999 1.9910618
47.6331 25.3181 1.9910618
23.2085 58.8069 1.9910618
43.9629 81.9344 1.9910618
95.9404 38.2332 1.9910618
65.9332 98.9174 1.9910618
47.522 42.292 1.9910618
73.4709 7.6166 1.9910618
84.4594 85.6238 1.9910618
1.02508 82.9527 1.9910618
35.9094 68.8825 1.9910618
90.11 20.7153 1.9910618
60.7208 77.8844 1.9910618
68.2389 8.47105 1.9910618
