999
47.1287 11.9659
98.1036 50.8139 12.14609
53.412 -4.2453 12.14609
57.7878 -4.3732 12.14609
53.289 -9.6645 12.14609
20.5322 21.5891 12.14609
22.5923 19.795 12.14609
6.9842 66.7632 12.14609
39.1965 105.4524 12.14609
31.0065 -1.0714 12.14609
24.7401 75.4523 12.14609
21.7951 21.835 12.14609
44.3097 5.4051 12.14609
4.7342 63.0935 12.14609
31.7515 71.3679 12.14609
30.1816 102.1772 12.14609
95.0864 33.2234 12.14609
27.6433 72.5657 12.14609
92.1801 41.0349 12.14609
55.5508 6.709 12.14609
40.9959 37.9409 12.14609
96.8097 54.0588 12.14609
4.0089 72.186 12.14609
70.2011 52.705 12.14609
72.6191 32.6684 12.14609
99.0428 19.6959 12.14609
38.189 100.3805 12.14609
40.9527 105.6227 12.14609
67.5609 49.631 12.14609
97.1071 18.8552 12.14609
93.2494 81.8793 12.14609
93.6083 38.4774 12.14609
83.5076 51.7826 12.14609
12.0444 66.3239 12.14609
64.8516 39.5774 12.14609
40.2323 12.6508 12.14609
30.7839 5.7178 12.14609
39.7333 98.7582 12.14609
31.4281 94.9219 12.14609
10.5042 66.7806 12.14609
100.6036 46.802 12.14609
47.3356 31.1656 12.14609
97.0499 25.7334 12.14609
91.9732 45.8332 12.14609
103.3956 43.6231 12.14609
93.4265 31.4744 12.14609
23.9142 5.5856 12.14609
72.0304 52.5053 12.14609
48.0764 105.8084 12.14609
97.0063 39.6578 12.14609
54.3132 33.4794 12.14609
75.5587 49.1352 12.14609
97.5653 74.5618 12.14609
27.2842 5.8331 12.14609
53.7123 16.59 12.14609
51.9742 12.9315 12.14609
3.5924 94.7451 12.14609
106.4442 49.0895 12.14609
48.9393 11.7496 12.14609
63.132 27.7543 12.14609
26.1674 96.1159 12.14609
53.4617 5.8056 12.14609
69.1689 51.2673 12.14609
18.2654 71.5277 12.14609
94.5838 45.9916 12.14609
62.7821 -0.0838 12.14609
102.211 28.3893 12.14609
45.8725 14.3747 12.14609
27.3755 -1.0984 12.14609
29.376 80.5861 12.14609
46.6598 16.011 12.14609
90.6179 26.4649 12.14609
71.2619 53.5794 12.14609
24.0847 21.2619 12.14609
99.3782 93.0601 12.14609
32.2034 92.5655 12.14609
95.46 44.379 12.14609
99.5817 52.1789 12.14609
26.7943 -2.6353 12.14609
67.4673 33.2544 12.14609
97.816 74.8015 12.14609
35.3466 107.7036 12.14609
37.1788 95.0118 12.14609
77.9223 44.6051 12.14609
52.5136 31.162 12.14609
102.6402 60.9181 12.14609
61.9524 -0.333 12.14609
64.4232 44.0581 12.14609
19.8821 27.2321 12.14609
28.099 29.8348 12.14609
47.5893 27.8934 12.14609
29.1897 96.4145 12.14609
47.6091 10.2274 12.14609
3.4538 93.5151 12.14609
98.5493 33.1624 12.14609
2.5533 99.1767 12.14609
102.9016 24.8202 12.14609
104.1034 98.3317 12.14609
92.288 83.6157 12.14609
75.4748 37.8532 12.14609
19.3676 20.9011 12.14609
26.9511 99.1097 12.14609
60.8351 33.4935 12.14609
22.1344 71.2137 12.14609
94.0795 80.8773 12.14609
3.5503 90.3653 12.14609
19.4163 -0.8394 12.14609
45.9581 33.5048 12.14609
33.1638 109.6815 12.14609
53.8796 31.7093 12.14609
50.5069 12.3029 12.14609
70.6191 48.182 12.14609
97.4314 81.946 12.14609
33.517 80.8699 12.14609
77.4079 49.147 12.14609
72.7757 56.7077 12.14609
46.9054 30.8841 12.14609
98.2345 80.86 12.14609
63.5739 32.9982 12.14609
55.9782 19.9329 12.14609
86.5983 36.2039 12.14609
56.6229 3.2945 12.14609
94.5355 44.3621 12.14609
34.3074 104.3145 12.14609
45.6407 35.658 12.14609
93.0994 86.3608 12.14609
46.503 16.5426 12.14609
58.5931 27.1316 12.14609
7.8142 89.6258 12.14609
22.8762 75.7017 12.14609
64.1748 30.2745 12.14609
26.55 96.735 12.14609
-1.8619 98.5581 12.14609
43.7681 7.8375 12.14609
65.7303 47.3671 12.14609
20.7311 19.0512 12.14609
103.9916 60.6173 12.14609
50.1654 34.298 12.14609
80.8872 43.1227 12.14609
97.9141 29.0493 12.14609
96.2582 32.5713 12.14609
85.8477 60.7859 12.14609
68.2062 28.5319 12.14609
101.8123 94.891 12.14609
55.5686 2.3786 12.14609
89.5287 45.4109 12.14609
37.3296 94.7968 12.14609
-0.3116 97.6012 12.14609
61.7542 11.527 12.14609
73.5268 49.2611 12.14609
95.4724 61.7777 12.14609
56.514 2.6652 12.14609
89.2688 56.3248 12.14609
91.1677 84.1211 12.14609
107.981 80.0957 12.14609
77.8264 55.5164 12.14609
41.9974 13.5778 12.14609
51.1106 98.2963 12.14609
68.2826 55.0673 12.14609
53.4554 15.0784 12.14609
25.4767 75.481 12.14609
34.0163 93.2553 12.14609
50.8592 31.2824 12.14609
57.9508 29.6187 12.14609
96.156 30.1327 12.14609
49.3862 17.5735 12.14609
50.1386 26.6573 12.14609
46.3909 8.819 12.14609
33.839 67.1668 12.14609
96.5235 92.1962 12.14609
71.0505 50.768 12.14609
36.7928 9.6586 12.14609
106.1692 29.0085 12.14609
57.7618 2.6586 12.14609
56.8778 27.618 12.14609
12.0097 66.7734 12.14609
43.984 9.2005 12.14609
40.065 98.6098 12.14609
94.4072 76.9857 12.14609
60.463 30.4795 12.14609
93.3823 48.5086 12.14609
33.6792 4.7017 12.14609
98.4258 65.8894 12.14609
66.5887 34.1226 12.14609
68.3701 31.308 12.14609
28.6989 1.5656 12.14609
72.7013 43.6681 12.14609
19.6457 23.2311 12.14609
48.9533 90.4759 12.14609
0.4838 63.8626 12.14609
96.4356 62.0951 12.14609
1.4019 97.5847 12.14609
101.161 45.7653 12.14609
108.656 34.8419 12.14609
33.1881 90.5996 12.14609
44.6028 29.9319 12.14609
98.9521 56.5952 12.14609
63.8645 34.3723 12.14609
8.0472 76.1743 12.14609
91.8795 37.1845 12.14609
96.2133 40.5576 12.14609
9.0002 73.0359 12.14609
106.6231 51.946 12.14609
31.4455 71.7336 12.14609
69.8977 54.8286 12.14609
99.0152 86.155 12.14609
42.0156 103.5929 12.14609
98.9198 48.0008 12.14609
102.4997 24.4075 12.14609
67.5765 27.7962 12.14609
101.7295 28.4449 12.14609
27.9452 7.0873 12.14609
6.6701 63.5082 12.14609
79.9479 46.2913 12.14609
35.9551 95.9225 12.14609
-2.1508 94.1499 12.14609
17.9606 81.6588 12.14609
68.022 53.7678 12.14609
10.9416 69.7746 12.14609
102.0461 86.7072 12.14609
26.4488 5.1021 12.14609
51.32 11.9016 12.14609
32.4952 97.9758 12.14609
-2.3037 90.7079 12.14609
42.5793 100.4271 12.14609
24.5076 73.115 12.14609
73.2401 49.0047 12.14609
49.5432 29.0024 12.14609
86.3374 85.7586 12.14609
100.0845 45.3198 12.14609
0.5802 93.7511 12.14609
32.2488 71.8762 12.14609
29.7064 94.0211 12.14609
7.8039 17.6061 12.14609
31.0707 1.7474 12.14609
43.1057 91.7939 12.14609
101.2985 78.2917 12.14609
91.0332 34.8187 12.14609
103.6911 80.62 12.14609
60.4167 1.4088 12.14609
103.4615 37.3033 12.14609
59.5552 26.5288 12.14609
48.0446 14.6778 12.14609
96.8706 83.0827 12.14609
52.0827 15.9727 12.14609
92.7178 89.1801 12.14609
5.8502 91.8647 12.14609
67.8857 28.9512 12.14609
92.1982 53.9806 12.14609
106.6895 31.0233 12.14609
98.2152 53.7701 12.14609
55.3647 9.0137 12.14609
54.6523 25.2022 12.14609
97.0347 92.0258 12.14609
54.2786 24.4277 12.14609
103.8062 50.1176 12.14609
93.9444 64.9 12.14609
75.5201 48.6107 12.14609
24.5208 1.7631 12.14609
85.9154 51.5363 12.14609
92.8209 56.9207 12.14609
22.8581 29.0039 12.14609
89.835 77.746 12.14609
48.6326 32.1618 12.14609
35.4152 92.5489 12.14609
30.7482 95.8761 12.14609
92.0851 66.8651 12.14609
9.6606 65.5604 12.14609
92.6699 80.64 12.14609
74.8417 48.5823 12.14609
63.3607 23.5913 12.14609
52.0306 12.0787 12.14609
25.9081 14.4892 12.14609
45.985 27.4123 12.14609
14.5018 68.1646 12.14609
95.9481 74.251 12.14609
-3.1358 95.2162 12.14609
33.1686 108.6172 12.14609
10.7344 66.9849 12.14609
103.8959 45.4099 12.14609
88.0225 60.7529 12.14609
66.949 50.6855 12.14609
54.8257 29.6059 12.14609
32.697 74.6737 12.14609
42.9285 106.2179 12.14609
97.5519 44.8528 12.14609
61.1622 34.1592 12.14609
98.9119 80.0767 12.14609
55.8132 15.4408 12.14609
56.047 -0.6998 12.14609
93.4941 85.8189 12.14609
85.065 35.2948 12.14609
95.4289 57.3916 12.14609
47.4903 33.2139 12.14609
47.2412 18.0641 12.14609
27.1736 83.2653 12.14609
91.86 79.7087 12.14609
54.5895 27.7676 12.14609
6.0914 73.9114 12.14609
91.1842 48.1207 12.14609
99.5987 51.3246 12.14609
33.6244 92.4492 12.14609
66.9624 36.7077 12.14609
21.3113 31.7798 12.14609
38.2186 96.6747 12.14609
85.1876 33.113 12.14609
37.9917 90.5379 12.14609
47.9603 31.0225 12.14609
26.4587 69.6793 12.14609
50.5738 30.8854 12.14609
100.5275 34.9543 12.14609
1.1743 92.9818 12.14609
96.6284 43.246 12.14609
6.6564 74.2265 12.14609
98.5933 78.8152 12.14609
17.7323 26.9057 12.14609
58.2741 0.1622 12.14609
104.1728 96.9352 12.14609
44.7075 13.3055 12.14609
35.7224 107.36 12.14609
93.9524 73.145 12.14609
98.0763 43.3554 12.14609
46.684 28.1154 12.14609
20.8129 26.0745 12.14609
99.0651 51.1078 12.14609
87.5583 39.2312 12.14609
56.6752 3.9284 12.14609
64.9829 35.6055 12.14609
58.3955 -2.2935 12.14609
105.5782 30.6326 12.14609
22.0744 6.6433 12.14609
106.8535 30.7643 12.14609
95.7576 96.9635 12.14609
42.4155 0.0668 12.14609
58.2864 0.0731 12.14609
45.0704 101.2748 12.14609
73.6428 45.1426 12.14609
70.0624 50.1219 12.14609
59.4358 8.0877 12.14609
103.8313 82.5056 12.14609
103.0838 43.6629 12.14609
46.213 15.3079 12.14609
41.599 92.4813 12.14609
23.1689 25.59 12.14609
36.4279 -4.3699 12.14609
98.9301 33.2654 12.14609
42.0978 97.503 12.14609
22.4229 -2.1641 12.14609
99.9754 58.6633 12.14609
66.2863 51.2705 12.14609
80.8076 41.6004 12.14609
49.1677 19.2175 12.14609
0.6138 95.4238 12.14609
1.6453 95.7178 12.14609
24.4797 75.354 12.14609
101.583 94.8217 12.14609
95.8908 32.6754 12.14609
58.0726 3.0503 12.14609
29.9497 8.0977 12.14609
12.0877 66.3858 12.14609
102.0152 42.2262 12.14609
9.4578 72.6847 12.14609
61.1452 36.2851 12.14609
9.17 97.1621 12.14609
92.2396 41.0703 12.14609
40.715 18.8306 12.14609
98.8373 99.4165 12.14609
25.2224 21.1268 12.14609
102.9211 31.879 12.14609
22.8228 67.5784 12.14609
18.1963 16.0602 12.14609
19.4151 20.4264 12.14609
99.0429 61.6589 12.14609
96.2485 47.1277 12.14609
48.7027 4.8736 12.14609
42.8212 36.4305 12.14609
73.6395 46.5004 12.14609
43.7231 10.6871 12.14609
95.9325 86.7596 12.14609
62.9268 27.0211 12.14609
47.0712 4.3382 12.14609
40.2693 101.3043 12.14609
40.5226 102.8002 12.14609
19.4476 21.0876 12.14609
100.7126 88.5952 12.14609
100.6388 53.8259 12.14609
90.2672 64.2791 12.14609
99.4285 63.8276 12.14609
52.1655 19.1446 12.14609
71.5231 31.8286 12.14609
72.9198 44.5581 12.14609
73.911 51.0144 12.14609
104.3693 90.8389 12.14609
44.0393 95.7757 12.14609
64.6914 7.7788 12.14609
70.1037 27.3839 12.14609
97.8831 81.9659 12.14609
85.9182 41.843 12.14609
97.1852 78.7831 12.14609
26.9783 71.0141 12.14609
73.7963 57.8273 12.14609
48.493 25.186 12.14609
50.0191 -2.6033 12.14609
36.2059 6.8965 12.14609
61.2083 54.3519 12.14609
55.4854 26.8201 12.14609
87.8413 47.1867 12.14609
53.9006 102.5381 12.14609
24.5354 72.6275 12.14609
94.549 73.3405 12.14609
15.1112 64.361 12.14609
81.9079 40.1742 12.14609
23.9369 61.5866 12.14609
9.3844 71.5303 12.14609
65.4552 32.6167 12.14609
55.9275 34.3566 12.14609
100.6204 94.7646 12.14609
98.853 91.6792 12.14609
46.4115 30.3033 12.14609
52.3173 10.0275 12.14609
92.1151 81.2598 12.14609
67.6588 29.7348 12.14609
93.3932 53.1876 12.14609
40.8939 84.3555 12.14609
42.9721 90.3177 12.14609
46.8369 6.4403 12.14609
29.8552 101.3038 12.14609
70.694 53.8562 12.14609
78.0993 54.3894 12.14609
21.1184 76.9048 12.14609
-1.9602 93.9224 12.14609
101.1976 33.4905 12.14609
-2.5612 92.1356 12.14609
92.4623 94.734 12.14609
67.242 26.9141 12.14609
102.4507 89.6037 12.14609
26.6904 96.1713 12.14609
13.2613 67.7948 12.14609
87.5129 47.9594 12.14609
104.9423 23.521 12.14609
58.8992 5.3006 12.14609
107.8221 37.3636 12.14609
55.089 27.0379 12.14609
95.6122 103.8055 12.14609
23.1228 16.7524 12.14609
46.7163 23.0055 12.14609
45.465 105.2608 12.14609
99.6903 41.4772 12.14609
94.0924 96.5838 12.14609
105.6149 29.5786 12.14609
-3.2639 94.8889 12.14609
31.105 77.2121 12.14609
96.5473 37.5774 12.14609
58.2987 1.8222 12.14609
29.7849 97.5299 12.14609
88.6062 92.2681 12.14609
12.5389 66.9051 12.14609
13.7649 76.0563 12.14609
49.9475 19.2284 12.14609
