317
169.3 405.5
6.3 7.1 41.34
9.4 7.1 41.34
14.2 37 41.34
17.3 127.6 41.34
20.5 121.3 41.34
21.3 6.9 41.34
24.4 6.9 41.34
27.6 63 41.34
28.3 73.2 41.34
36.2 6.9 41.34
39.4 6.9 41.34
44.9 37 41.34
48 127.6 41.34
51.2 121.3 41.34
52.8 15.7 41.34
58.3 63 41.34
59.1 73.2 41.34
63.8 65.4 41.34
63.8 49.6 41.34
63.8 31.4 41.34
63.8 14.2 41.34
66.9 14.2 41.34
67.7 31.5 41.34
67.7 49.6 41.34
67.7 65.4 41.34
70.9 65.4 41.34
70.9 49.6 41.34
70.9 31.5 41.34
70.1 14.2 41.34
76.4 22 41.34
81.1 18.9 41.34
84.3 17.3 41.34
85.8 37 41.34
89 127.6 41.34
92.1 121.3 41.34
99.2 63 41.34
100 73.2 41.34
119.7 127.6 41.34
122.8 121.3 41.34
127.6 20.5 41.34
129.9 63 41.34
130.7 73.2 41.34
136.2 65.4 41.34
136.2 49.6 41.34
136.2 29.1 41.34
142.5 65.4 41.34
142.5 49.6 41.34
142.5 29.1 41.34
141.7 17.3 41.34
148.8 29.1 41.34
148.8 49.6 41.34
148.8 65.4 41.34
155.1 65.4 41.34
155.1 49.6 41.34
155.1 29.1 41.34
161.4 29.1 41.34
161.4 49.6 41.34
161.4 65.4 41.34
173.2 18.9 41.34
181.1 127.6 41.34
184.3 121.3 41.34
191.3 63 41.34
192.1 73.2 41.34
208.7 37 41.34
211.8 127.6 41.34
215 121.3 41.34
218.9 20.5 41.34
222 18.9 41.34
222 63 41.34
222.8 73.2 41.34
224.4 14.2 41.34
227.6 31.5 41.34
227.6 49.6 41.34
227.6 65.4 41.34
231.5 65.4 41.34
231.5 49.6 41.34
231.5 31.5 41.34
233.1 14.2 41.34
234.6 31.5 41.34
234.6 49.6 41.34
234.6 65.4 41.34
236.2 14.2 41.34
240.2 15.7 41.34
240.2 22 41.34
248 14.2 41.34
249.6 37 41.34
252.8 127.6 41.34
255.9 121.3 41.34
263 63 41.34
263.8 73.2 41.34
275.6 6.9 41.34
