194
12.7 29
0.3 1.2 2.89
1.7 1.2 2.89
2.3 0.9 2.89
3.4 1.1 2.89
4.7 1.1 2.89
5.4 1.2 2.89
6.6 1.6 2.89
7.5 0.7 2.89
8.6 0.6 2.89
9.4 0.8 2.89
10.7 0.9 2.89
11.5 1.4 2.89
12.3 1.5 2.89
0.3 3.2 2.89
1.5 3.2 2.89
2.6 3.4 2.89
3.3 3.4 2.89
4.2 3.4 2.89
5.3 2.5 2.89
6.4 3.2 2.89
7.4 3.2 2.89
8.5 3.4 2.89
9.5 2.8 2.89
10.4 2.5 2.89
11.3 3.1 2.89
12.5 3.4 2.89
0.3 4.8 2.89
1.5 4.6 2.89
2.6 5 2.89
3.6 5.4 2.89
4.8 5 2.89
5.4 4.6 2.89
6.4 5.4 2.89
7.5 4.4 2.89
8.8 4.9 2.89
9.8 5 2.89
10.3 5.4 2.89
11.5 4.7 2.89
12.7 4.9 2.89
0.6 7.5 2.89
1.5 7.5 2.89
2.7 7.3 2.89
3.6 7.3 2.89
4.7 6.8 2.89
5.4 7.2 2.89
6.6 6.8 2.89
7.4 6.7 2.89
8.5 6.5 2.89
9.4 7.4 2.89
10.7 6.5 2.89
11.7 6.5 2.89
12.5 6.8 2.89
0.6 8.4 2.89
1.3 9.5 2.89
2.5 9.4 2.89
3.7 8.4 2.89
4.7 8.7 2.89
5.3 9.5 2.89
6.3 8.6 2.89
7.7 9.3 2.89
8.3 8.9 2.89
9.4 9.5 2.89
10.3 9.2 2.89
11.5 9.5 2.89
12.3 9.3 2.89
0.7 11.4 2.89
1.5 11.1 2.89
2.4 11.2 2.89
3.6 10.8 2.89
4.3 11.2 2.89
5.6 10.5 2.89
6.4 11.2 2.89
7.3 11.2 2.89
8.6 10.7 2.89
9.8 10.8 2.89
10.4 11.3 2.89
11.7 11.5 2.89
12.6 10.9 2.89
0.6 12.7 2.89
1.7 12.5 2.89
2.7 13.4 2.89
3.5 12.6 2.89
4.4 13.1 2.89
5.4 13.2 2.89
6.3 12.4 2.89
7.7 12.7 2.89
8.2 13.4 2.89
9.6 12.8 2.89
10.3 12.6 2.89
11.6 13 2.89
12.6 13.4 2.89
0.7 15.2 2.89
1.6 14.7 2.89
2.4 15.3 2.89
3.5 15.1 2.89
4.5 15.4 2.89
5.5 14.6 2.89
6.3 15.5 2.89
7.5 15.1 2.89
8.7 15.4 2.89
9.3 15.6 2.89
10.4 15.1 2.89
11.7 15.3 2.89
12.7 14.8 2.89
0.3 16.4 2.89
1.6 17.2 2.89
2.5 16.5 2.89
3.5 17.5 2.89
4.4 16.9 2.89
5.3 17.4 2.89
6.4 16.8 2.89
7.6 17.1 2.89
8.7 17.3 2.89
9.5 17.4 2.89
10.6 16.8 2.89
11.4 16.9 2.89
12.5 16.9 2.89
0.3 19 2.89
1.6 18.8 2.89
2.5 19.5 2.89
3.7 18.6 2.89
4.4 18.9 2.89
5.4 19.4 2.89
6.6 19.2 2.89
7.7 19.2 2.89
8.5 18.8 2.89
9.3 18.5 2.89
10.6 19.2 2.89
11.3 19.3 2.89
12.5 19.5 2.89
0.5 20.7 2.89
1.5 21.3 2.89
2.4 20.9 2.89
3.3 21.4 2.89
4.3 20.6 2.89
5.3 21.1 2.89
6.4 21.3 2.89
7.4 21.2 2.89
8.4 21.2 2.89
9.4 20.9 2.89
10.4 21.5 2.89
11.5 20.6 2.89
12.7 20.9 2.89
0.6 22.9 2.89
1.3 22.7 2.89
2.6 23.5 2.89
3.4 22.5 2.89
4.3 22.7 2.89
5.5 22.5 2.89
6.7 22.9 2.89
7.5 23.4 2.89
8.7 23 2.89
9.5 23.5 2.89
10.5 22.8 2.89
11.7 22.5 2.89
12.7 23 2.89
0.6 24.9 2.89
1.5 24.6 2.89
2.6 25.5 2.89
3.3 24.6 2.89
4.7 24.8 2.89
5.8 25.2 2.89
6.5 24.8 2.89
7.3 24.7 2.89
8.7 24.9 2.89
9.4 24.5 2.89
10.4 25.6 2.89
11.3 24.6 2.89
12.5 25.3 2.89
0.5 26.6 2.89
1.6 27.4 2.89
2.4 26.7 2.89
3.7 26.6 2.89
4.5 26.7 2.89
5.4 26.6 2.89
6.7 26.7 2.89
7.4 26.5 2.89
8.7 26.4 2.89
9.5 27.1 2.89
10.6 26.4 2.89
11.6 27.1 2.89
12.7 27.3 2.89
0.7 28.7 2.89
1.7 29.4 2.89
2.3 28.7 2.89
3.3 28.4 2.89
4.3 28.8 2.89
5.3 29.5 2.89
6.7 28.8 2.89
7.3 28.6 2.89
8.7 29.3 2.89
9.4 28.4 2.89
10.4 29.1 2.89
11.4 29.4 2.89
