317
169.3 405.5
6.3 7.1 124.02
9.4 7.1 124.02
14.2 37 124.02
17.3 127.6 124.02
20.5 121.3 124.02
21.3 6.9 124.02
24.4 6.9 124.02
27.6 63 124.02
28.3 73.2 124.02
36.2 6.9 124.02
39.4 6.9 124.02
44.9 37 124.02
48 127.6 124.02
51.2 121.3 124.02
52.8 15.7 124.02
58.3 63 124.02
59.1 73.2 124.02
63.8 65.4 124.02
63.8 49.6 124.02
63.8 31.4 124.02
63.8 14.2 124.02
66.9 14.2 124.02
67.7 31.5 124.02
67.7 49.6 124.02
67.7 65.4 124.02
70.9 65.4 124.02
70.9 49.6 124.02
70.9 31.5 124.02
70.1 14.2 124.02
76.4 22 124.02
81.1 18.9 124.02
84.3 17.3 124.02
85.8 37 124.02
89 127.6 124.02
92.1 121.3 124.02
99.2 63 124.02
100 73.2 124.02
119.7 127.6 124.02
122.8 121.3 124.02
127.6 20.5 124.02
129.9 63 124.02
130.7 73.2 124.02
136.2 65.4 124.02
136.2 49.6 124.02
136.2 29.1 124.02
142.5 65.4 124.02
142.5 49.6 124.02
142.5 29.1 124.02
141.7 17.3 124.02
148.8 29.1 124.02
148.8 49.6 124.02
148.8 65.4 124.02
155.1 65.4 124.02
155.1 49.6 124.02
155.1 29.1 124.02
161.4 29.1 124.02
161.4 49.6 124.02
161.4 65.4 124.02
173.2 18.9 124.02
181.1 127.6 124.02
184.3 121.3 124.02
191.3 63 124.02
192.1 73.2 124.02
208.7 37 124.02
211.8 127.6 124.02
215 121.3 124.02
218.9 20.5 124.02
222 18.9 124.02
222 63 124.02
222.8 73.2 124.02
224.4 14.2 124.02
227.6 31.5 124.02
227.6 49.6 124.02
227.6 65.4 124.02
231.5 65.4 124.02
231.5 49.6 124.02
231.5 31.5 124.02
233.1 14.2 124.02
234.6 31.5 124.02
234.6 49.6 124.02
234.6 65.4 124.02
236.2 14.2 124.02
240.2 15.7 124.02
240.2 22 124.02
248 14.2 124.02
249.6 37 124.02
252.8 127.6 124.02
255.9 121.3 124.02
263 63 124.02
263.8 73.2 124.02
275.6 6.9 124.02
278.7 6.9 124.02
280.3 37 124.02
283.5 127.6 124.02
286.6 121.3 124.02
290.6 6.9 124.02
293.7 6.9 124.02
293.7 63 124.02
294.5 73.2 124.02
301.6 127.6 124.02
305.5 6.9 124.02
308.7 6.9 124.02
60.6 22 124.02
116.5 37 124.02
178 37 124.02
6.3 140.2 124.02
9.4 140.2 124.02
14.2 170.1 124.02
17.3 260.7 124.02
20.5 254.4 124.02
21.3 140 124.02
24.4 140 124.02
27.6 196.1 124.02
28.3 206.3 124.02
36.2 140 124.02
39.4 140 124.02
44.9 170.1 124.02
48 260.7 124.02
51.2 254.4 124.02
52.8 148.8 124.02
58.3 196.1 124.02
59.1 206.3 124.02
63.8 198.5 124.02
63.8 182.7 124.02
63.8 164.5 124.02
63.8 147.3 124.02
66.9 147.3 124.02
67.7 164.6 124.02
67.7 182.7 124.02
67.7 198.5 124.02
70.9 198.5 124.02
70.9 182.7 124.02
70.9 164.6 124.02
70.1 147.3 124.02
76.4 155.1 124.02
81.1 152 124.02
84.3 150.4 124.02
85.8 170.1 124.02
89 260.7 124.02
92.1 254.4 124.02
99.2 196.1 124.02
100 206.3 124.02
119.7 260.7 124.02
122.8 254.4 124.02
127.6 153.6 124.02
129.9 196.1 124.02
130.7 206.3 124.02
136.2 198.5 124.02
136.2 182.7 124.02
136.2 162.2 124.02
142.5 198.5 124.02
142.5 182.7 124.02
142.5 162.2 124.02
141.7 150.4 124.02
148.8 162.2 124.02
148.8 182.7 124.02
148.8 198.5 124.02
155.1 198.5 124.02
155.1 182.7 124.02
155.1 162.2 124.02
161.4 162.2 124.02
161.4 182.7 124.02
161.4 198.5 124.02
173.2 152 124.02
181.1 260.7 124.02
184.3 254.4 124.02
191.3 196.1 124.02
192.1 206.3 124.02
208.7 170.1 124.02
211.8 260.7 124.02
215 254.4 124.02
218.9 153.6 124.02
222 152 124.02
222 196.1 124.02
222.8 206.3 124.02
224.4 147.3 124.02
227.6 164.6 124.02
227.6 182.7 124.02
227.6 198.5 124.02
231.5 198.5 124.02
231.5 182.7 124.02
231.5 164.6 124.02
233.1 147.3 124.02
234.6 164.6 124.02
234.6 182.7 124.02
234.6 198.5 124.02
236.2 147.3 124.02
240.2 148.8 124.02
240.2 155.1 124.02
248 147.3 124.02
249.6 170.1 124.02
252.8 260.7 124.02
255.9 254.4 124.02
263 196.1 124.02
263.8 206.3 124.02
275.6 140 124.02
278.7 140 124.02
280.3 170.1 124.02
283.5 260.7 124.02
286.6 254.4 124.02
290.6 140 124.02
293.7 140 124.02
293.7 196.1 124.02
294.5 206.3 124.02
301.6 260.7 124.02
305.5 140 124.02
308.7 140 124.02
60.6 155.1 124.02
116.5 170.1 124.02
178 170.1 124.02
6.3 273.3 124.02
9.4 273.3 124.02
14.2 303.2 124.02
17.3 393.8 124.02
20.5 387.5 124.02
21.3 273.1 124.02
24.4 273.1 124.02
27.6 329.2 124.02
28.3 339.4 124.02
36.2 273.1 124.02
39.4 273.1 124.02
44.9 303.2 124.02
48 393.8 124.02
51.2 387.5 124.02
52.8 281.9 124.02
58.3 329.2 124.02
59.1 339.4 124.02
63.8 331.6 124.02
63.8 315.8 124.02
63.8 297.6 124.02
63.8 280.4 124.02
66.9 280.4 124.02
67.7 297.7 124.02
67.7 315.8 124.02
67.7 331.6 124.02
70.9 331.6 124.02
70.9 315.8 124.02
70.9 297.7 124.02
70.1 280.4 124.02
76.4 288.2 124.02
81.1 285.1 124.02
84.3 283.5 124.02
85.8 303.2 124.02
89 393.8 124.02
92.1 387.5 124.02
99.2 329.2 124.02
100 339.4 124.02
119.7 393.8 124.02
122.8 387.5 124.02
127.6 286.7 124.02
129.9 329.2 124.02
130.7 339.4 124.02
136.2 331.6 124.02
136.2 315.8 124.02
136.2 295.3 124.02
142.5 331.6 124.02
142.5 315.8 124.02
142.5 295.3 124.02
141.7 283.5 124.02
148.8 295.3 124.02
148.8 315.8 124.02
148.8 331.6 124.02
155.1 331.6 124.02
155.1 315.8 124.02
155.1 295.3 124.02
161.4 295.3 124.02
161.4 315.8 124.02
161.4 331.6 124.02
173.2 285.1 124.02
181.1 393.8 124.02
184.3 387.5 124.02
191.3 329.2 124.02
192.1 339.4 124.02
208.7 303.2 124.02
211.8 393.8 124.02
215 387.5 124.02
218.9 286.7 124.02
222 285.1 124.02
222 329.2 124.02
222.8 339.4 124.02
224.4 280.4 124.02
227.6 297.7 124.02
227.6 315.8 124.02
227.6 331.6 124.02
231.5 331.6 124.02
231.5 315.8 124.02
231.5 297.7 124.02
233.1 280.4 124.02
234.6 297.7 124.02
234.6 315.8 124.02
