441
0 0
2 4 11.4
2 5 11.4
2 6 11.4
2 7 11.4
2 8 11.4
2 9 11.4
2 10 11.4
2 11 11.4
2 12 11.4
2 13 11.4
2 14 11.4
2 15 11.4
2 16 11.4
2 17 11.4
2 18 11.4
2 19 11.4
2 20 11.4
2 21 11.4
2 22 11.4
2 23 11.4
2 24 11.4
2 25 11.4
2 26 11.4
2 27 11.4
2 28 11.4
2 29 11.4
2 30 11.4
2 31 11.4
2 32 11.4
2 33 11.4
2 34 11.4
2 35 11.4
2 36 11.4
3 4 11.4
3 5 11.4
3 6 11.4
3 7 11.4
3 8 11.4
3 9 11.4
3 10 11.4
3 11 11.4
3 12 11.4
3 13 11.4
3 14 11.4
3 15 11.4
3 16 11.4
3 17 11.4
3 18 11.4
3 19 11.4
3 20 11.4
3 21 11.4
3 22 11.4
3 23 11.4
3 24 11.4
3 25 11.4
3 26 11.4
3 27 11.4
3 28 11.4
3 29 11.4
3 30 11.4
3 31 11.4
3 32 11.4
3 33 11.4
3 34 11.4
3 35 11.4
4 4 11.4
4 5 11.4
4 6 11.4
4 7 11.4
4 8 11.4
4 9 11.4
4 10 11.4
4 11 11.4
4 12 11.4
4 13 11.4
4 14 11.4
4 15 11.4
4 16 11.4
4 17 11.4
4 18 11.4
4 19 11.4
4 20 11.4
4 21 11.4
4 22 11.4
4 23 11.4
4 24 11.4
4 25 11.4
4 26 11.4
4 27 11.4
4 28 11.4
4 29 11.4
4 30 11.4
4 31 11.4
4 32 11.4
4 33 11.4
4 34 11.4
4 35 11.4
4 36 11.4
5 15 11.4
5 18.3 11.4
5 31 11.4
6 4 11.4
7 3 11.4
7 6 11.4
7 15 11.4
7 16 11.4
7 18 11.4
7 21 11.4
7 24 11.4
7 27 11.4
7 30 11.4
7 33 11.4
7 36 11.4
8 3 11.4
8 6 11.4
8 10.3 11.4
8 15 11.4
8 18 11.4
8 21 11.4
8 24 11.4
8 26 11.4
8 27 11.4
8 30 11.4
8 33 11.4
8 36 11.4
9 3 11.4
9 6 11.4
9 15 11.4
9 18 11.4
9 21 11.4
9 24 11.4
9 27 11.4
9 30 11.4
9 33 11.4
9 36 11.4
10 3 11.4
10 6 11.4
10 11 11.4
10 15 11.4
10 16.3 11.4
10 18 11.4
10 21 11.4
10 24 11.4
10 26 11.4
10 27 11.4
10 30 11.4
10 33 11.4
10 36 11.4
11 3 11.4
11 6 11.4
11 7 11.4
11 9 11.4
11 15 11.4
11 18 11.4
11 21 11.4
11 24 11.4
11 27 11.4
11 30 11.4
11 33 11.4
11 36 11.4
12 3 11.4
12 6 11.4
12 15 11.4
12 17 11.4
12 18 11.4
12 21 11.4
12 24 11.4
12 27 11.4
12 30 11.4
12 33 11.4
12 36 11.4
13 3 11.4
13 6 11.4
13 7 11.4
13 11.3 11.4
13 15 11.4
13 18 11.4
13 21 11.4
13 22 11.4
13 24 11.4
13 27 11.4
13 30 11.4
13 33 11.4
13 36 11.4
14 3 11.4
14 6 11.4
14 9.3 11.4
14 15 11.4
14 18 11.4
14 20 11.4
14 21 11.4
14 24 11.4
14 25 11.4
14 27 11.4
14 28.2 11.4
14 29 11.4
14 30 11.4
14 33 11.4
14 36 11.4
15 15 11.4
15 18 11.4
15 19 11.4
15 21 11.4
15 24 11.4
15 27 11.4
15 28 11.4
15 28.6 11.4
