200
110 110
107 93 5
110 96 5
110 93 5
110 90 5
113 93 5
124 93 5
127 96 5
127 93 5
127 90 5
130 93 5
124 110 5
127 113 5
127 110 5
127 107 5
130 110 5
124 127 5
127 130 5
127 127 5
127 124 5
130 127 5
107 127 5
110 130 5
110 127 5
110 124 5
113 127 5
90 127 5
93 130 5
93 127 5
93 124 5
96 127 5
90 110 5
93 113 5
93 110 5
93 107 5
96 110 5
90 93 5
93 96 5
93 93 5
93 90 5
96 93 5
107 76 5
110 79 5
110 76 5
110 73 5
113 76 5
141 76 5
144 79 5
144 76 5
144 73 5
147 76 5
141 110 5
144 113 5
144 110 5
144 107 5
147 110 5
141 144 5
144 147 5
144 144 5
144 141 5
147 144 5
107 144 5
110 147 5
110 144 5
110 141 5
113 144 5
73 144 5
76 147 5
76 144 5
76 141 5
79 144 5
73 110 5
76 113 5
76 110 5
76 107 5
79 110 5
73 76 5
76 79 5
76 76 5
76 73 5
79 76 5
107 59 5
110 62 5
110 59 5
110 56 5
113 59 5
158 59 5
161 62 5
161 59 5
161 56 5
164 59 5
158 110 5
161 113 5
161 110 5
161 107 5
164 110 5
158 161 5
161 164 5
161 161 5
161 158 5
164 161 5
107 161 5
110 164 5
110 161 5
110 158 5
113 161 5
56 161 5
59 164 5
59 161 5
59 158 5
62 161 5
56 110 5
59 113 5
59 110 5
59 107 5
62 110 5
56 59 5
59 62 5
59 59 5
59 56 5
62 59 5
107 42 5
110 45 5
110 42 5
110 39 5
113 42 5
175 42 5
178 45 5
178 42 5
178 39 5
181 42 5
175 110 5
178 113 5
178 110 5
178 107 5
181 110 5
175 178 5
178 181 5
178 178 5
178 175 5
181 178 5
107 178 5
110 181 5
110 178 5
110 175 5
113 178 5
39 178 5
42 181 5
42 178 5
42 175 5
45 178 5
39 110 5
42 107 5
42 110 5
42 113 5
45 110 5
39 42 5
42 45 5
42 42 5
42 39 5
45 42 5
107 25 5
110 28 5
110 25 5
110 22 5
113 25 5
192 25 5
195 28 5
195 25 5
195 22 5
198 25 5
192 110 5
195 107 5
195 110 5
195 113 5
198 110 5
192 195 5
195 198 5
195 195 5
195 192 5
198 195 5
107 195 5
110 198 5
110 195 5
110 192 5
113 195 5
22 195 5
25 198 5
25 195 5
25 192 5
28 195 5
22 110 5
25 113 5
25 110 5
25 107 5
28 110 5
22 25 5
25 28 5
25 25 5
25 22 5
28 25 5
