60
100 100
101 95 2
103 95 2
105 95 2
105 97 2
105 99 2
105 101 2
105 103 2
105 105 2
103 105 2
101 105 2
99 105 2
97 105 2
95 105 2
95 103 2
95 101 2
95 99 2
95 97 2
95 95 2
97 95 2
99 95 2
100 80 2
102 82 2
104 84 2
106 86 2
108 88 2
110 90 2
112 92 2
114 94 2
116 96 2
118 98 2
120 100 2
118 102 2
116 104 2
114 106 2
112 108 2
110 110 2
108 112 2
106 114 2
104 116 2
102 118 2
100 120 2
98 118 2
96 116 2
94 114 2
92 112 2
86 106 2
90 110 2
88 108 2
84 104 2
82 102 2
80 100 2
82 98 2
84 96 2
86 94 2
88 92 2
90 90 2
92 88 2
94 86 2
96 84 2
98 82 2
