100
50 10
78.214 79.218 9
74.447 77.382 9
76.154 71.763 9
77.919 74.057 9
54.032 12.197 9
53.754 0.148 9
46.154 2.083 9
53.405 3.041 9
40.868 2.981 9
45.293 9.057 9
27.219 44.51 9
19.881 93.181 9
1.527 46.599 9
74.679 41.865 9
36.924 96.636 9
30.503 90.056 9
24.053 94.189 9
33.443 88.578 9
36.762 86.092 9
20.393 83.793 9
33.626 83.869 9
27.59 93.644 9
19.569 24.449 9
25.542 20.506 9
15.772 12.549 9
29.447 11.243 9
21.459 12.53 9
33.5 17.352 9
33.341 22.178 9
26.839 11.732 9
12.414 20.962 9
22.494 14.202 9
20.541 9.26 9
16.123 17.568 9
49.571 48.14 9
47.232 45.27 9
52.975 65.56 9
51.29 49.58 9
55.281 51.871 9
59.007 60.213 9
49.02 51.541 9
57.243 55.792 9
40.978 46.49 9
59.534 67.732 9
43.243 58.404 9
42.804 54.74 9
57.142 56.857 9
53.958 52.681 9
89.359 10.839 9
85.841 12.653 9
91.857 16.502 9
94.926 4.006 9
91.007 13.249 9
92.889 3.855 9
85.554 10.061 9
88.457 8.185 9
95.317 17.864 9
93.574 3.255 9
20.735 74.659 9
26.213 68.977 9
26.732 55.612 9
21.299 57.593 9
11.844 68.394 9
13.454 69.007 9
5.777 62.003 9
17.374 67.529 9
8.641 64.188 9
25.923 53.185 9
19.619 52.734 9
11.123 60.442 9
20.103 52.347 9
7.235 62.367 9
11.878 70.444 9
25.201 54.507 9
18.45 52.954 9
5.739 68.535 9
93.694 56.925 9
87.173 60.998 9
87.18 60.86 9
89.091 59.886 9
93.456 57.69 9
87.633 63.432 9
91.043 63.691 9
93.946 64.003 9
94.894 61.262 9
94.619 62.103 9
63.631 81.224 9
73.523 67.727 9
81.476 87.316 9
86.785 67.217 9
68.193 67.124 9
67.643 91.829 9
85.968 75.194 9
66.971 72.201 9
84.146 71.427 9
87.252 72.952 9
66.957 73.797 9
67.179 79.746 9
61.493 65.592 9
62.352 63.144 9
