999
47.1287 11.9659
98.1036 50.8139 2.429218
53.412 -4.2453 2.429218
57.7878 -4.3732 2.429218
53.289 -9.6645 2.429218
20.5322 21.5891 2.429218
22.5923 19.795 2.429218
6.9842 66.7632 2.429218
39.1965 105.4524 2.429218
31.0065 -1.0714 2.429218
24.7401 75.4523 2.429218
21.7951 21.835 2.429218
44.3097 5.4051 2.429218
4.7342 63.0935 2.429218
31.7515 71.3679 2.429218
30.1816 102.1772 2.429218
95.0864 33.2234 2.429218
27.6433 72.5657 2.429218
92.1801 41.0349 2.429218
55.5508 6.709 2.429218
40.9959 37.9409 2.429218
96.8097 54.0588 2.429218
4.0089 72.186 2.429218
70.2011 52.705 2.429218
72.6191 32.6684 2.429218
99.0428 19.6959 2.429218
38.189 100.3805 2.429218
40.9527 105.6227 2.429218
67.5609 49.631 2.429218
97.1071 18.8552 2.429218
93.2494 81.8793 2.429218
93.6083 38.4774 2.429218
83.5076 51.7826 2.429218
12.0444 66.3239 2.429218
64.8516 39.5774 2.429218
40.2323 12.6508 2.429218
30.7839 5.7178 2.429218
39.7333 98.7582 2.429218
31.4281 94.9219 2.429218
10.5042 66.7806 2.429218
100.6036 46.802 2.429218
47.3356 31.1656 2.429218
97.0499 25.7334 2.429218
91.9732 45.8332 2.429218
103.3956 43.6231 2.429218
93.4265 31.4744 2.429218
23.9142 5.5856 2.429218
72.0304 52.5053 2.429218
48.0764 105.8084 2.429218
97.0063 39.6578 2.429218
54.3132 33.4794 2.429218
75.5587 49.1352 2.429218
97.5653 74.5618 2.429218
27.2842 5.8331 2.429218
53.7123 16.59 2.429218
51.9742 12.9315 2.429218
3.5924 94.7451 2.429218
106.4442 49.0895 2.429218
48.9393 11.7496 2.429218
63.132 27.7543 2.429218
26.1674 96.1159 2.429218
53.4617 5.8056 2.429218
69.1689 51.2673 2.429218
18.2654 71.5277 2.429218
94.5838 45.9916 2.429218
62.7821 -0.0838 2.429218
102.211 28.3893 2.429218
45.8725 14.3747 2.429218
27.3755 -1.0984 2.429218
29.376 80.5861 2.429218
46.6598 16.011 2.429218
90.6179 26.4649 2.429218
71.2619 53.5794 2.429218
24.0847 21.2619 2.429218
99.3782 93.0601 2.429218
32.2034 92.5655 2.429218
95.46 44.379 2.429218
99.5817 52.1789 2.429218
26.7943 -2.6353 2.429218
67.4673 33.2544 2.429218
97.816 74.8015 2.429218
35.3466 107.7036 2.429218
37.1788 95.0118 2.429218
77.9223 44.6051 2.429218
52.5136 31.162 2.429218
102.6402 60.9181 2.429218
61.9524 -0.333 2.429218
64.4232 44.0581 2.429218
19.8821 27.2321 2.429218
28.099 29.8348 2.429218
47.5893 27.8934 2.429218
29.1897 96.4145 2.429218
47.6091 10.2274 2.429218
3.4538 93.5151 2.429218
98.5493 33.1624 2.429218
2.5533 99.1767 2.429218
102.9016 24.8202 2.429218
104.1034 98.3317 2.429218
92.288 83.6157 2.429218
75.4748 37.8532 2.429218
19.3676 20.9011 2.429218
26.9511 99.1097 2.429218
60.8351 33.4935 2.429218
22.1344 71.2137 2.429218
94.0795 80.8773 2.429218
3.5503 90.3653 2.429218
19.4163 -0.8394 2.429218
45.9581 33.5048 2.429218
33.1638 109.6815 2.429218
53.8796 31.7093 2.429218
50.5069 12.3029 2.429218
70.6191 48.182 2.429218
97.4314 81.946 2.429218
33.517 80.8699 2.429218
77.4079 49.147 2.429218
72.7757 56.7077 2.429218
46.9054 30.8841 2.429218
98.2345 80.86 2.429218
63.5739 32.9982 2.429218
55.9782 19.9329 2.429218
86.5983 36.2039 2.429218
56.6229 3.2945 2.429218
94.5355 44.3621 2.429218
34.3074 104.3145 2.429218
45.6407 35.658 2.429218
93.0994 86.3608 2.429218
46.503 16.5426 2.429218
58.5931 27.1316 2.429218
7.8142 89.6258 2.429218
22.8762 75.7017 2.429218
64.1748 30.2745 2.429218
26.55 96.735 2.429218
-1.8619 98.5581 2.429218
43.7681 7.8375 2.429218
65.7303 47.3671 2.429218
20.7311 19.0512 2.429218
103.9916 60.6173 2.429218
50.1654 34.298 2.429218
80.8872 43.1227 2.429218
97.9141 29.0493 2.429218
96.2582 32.5713 2.429218
85.8477 60.7859 2.429218
68.2062 28.5319 2.429218
101.8123 94.891 2.429218
55.5686 2.3786 2.429218
89.5287 45.4109 2.429218
37.3296 94.7968 2.429218
-0.3116 97.6012 2.429218
61.7542 11.527 2.429218
73.5268 49.2611 2.429218
95.4724 61.7777 2.429218
56.514 2.6652 2.429218
89.2688 56.3248 2.429218
91.1677 84.1211 2.429218
107.981 80.0957 2.429218
77.8264 55.5164 2.429218
41.9974 13.5778 2.429218
51.1106 98.2963 2.429218
68.2826 55.0673 2.429218
53.4554 15.0784 2.429218
25.4767 75.481 2.429218
34.0163 93.2553 2.429218
50.8592 31.2824 2.429218
57.9508 29.6187 2.429218
96.156 30.1327 2.429218
49.3862 17.5735 2.429218
50.1386 26.6573 2.429218
46.3909 8.819 2.429218
33.839 67.1668 2.429218
96.5235 92.1962 2.429218
71.0505 50.768 2.429218
36.7928 9.6586 2.429218
106.1692 29.0085 2.429218
57.7618 2.6586 2.429218
56.8778 27.618 2.429218
12.0097 66.7734 2.429218
43.984 9.2005 2.429218
40.065 98.6098 2.429218
94.4072 76.9857 2.429218
60.463 30.4795 2.429218
93.3823 48.5086 2.429218
33.6792 4.7017 2.429218
98.4258 65.8894 2.429218
66.5887 34.1226 2.429218
68.3701 31.308 2.429218
28.6989 1.5656 2.429218
72.7013 43.6681 2.429218
19.6457 23.2311 2.429218
48.9533 90.4759 2.429218
0.4838 63.8626 2.429218
96.4356 62.0951 2.429218
1.4019 97.5847 2.429218
101.161 45.7653 2.429218
108.656 34.8419 2.429218
33.1881 90.5996 2.429218
44.6028 29.9319 2.429218
98.9521 56.5952 2.429218
63.8645 34.3723 2.429218
8.0472 76.1743 2.429218
91.8795 37.1845 2.429218
96.2133 40.5576 2.429218
9.0002 73.0359 2.429218
106.6231 51.946 2.429218
31.4455 71.7336 2.429218
69.8977 54.8286 2.429218
99.0152 86.155 2.429218
42.0156 103.5929 2.429218
98.9198 48.0008 2.429218
102.4997 24.4075 2.429218
67.5765 27.7962 2.429218
101.7295 28.4449 2.429218
27.9452 7.0873 2.429218
6.6701 63.5082 2.429218
79.9479 46.2913 2.429218
35.9551 95.9225 2.429218
-2.1508 94.1499 2.429218
17.9606 81.6588 2.429218
68.022 53.7678 2.429218
10.9416 69.7746 2.429218
102.0461 86.7072 2.429218
26.4488 5.1021 2.429218
51.32 11.9016 2.429218
32.4952 97.9758 2.429218
-2.3037 90.7079 2.429218
42.5793 100.4271 2.429218
24.5076 73.115 2.429218
73.2401 49.0047 2.429218
49.5432 29.0024 2.429218
86.3374 85.7586 2.429218
100.0845 45.3198 2.429218
0.5802 93.7511 2.429218
32.2488 71.8762 2.429218
29.7064 94.0211 2.429218
7.8039 17.6061 2.429218
31.0707 1.7474 2.429218
43.1057 91.7939 2.429218
101.2985 78.2917 2.429218
91.0332 34.8187 2.429218
103.6911 80.62 2.429218
60.4167 1.4088 2.429218
103.4615 37.3033 2.429218
59.5552 26.5288 2.429218
48.0446 14.6778 2.429218
96.8706 83.0827 2.429218
52.0827 15.9727 2.429218
92.7178 89.1801 2.429218
5.8502 91.8647 2.429218
67.8857 28.9512 2.429218
92.1982 53.9806 2.429218
106.6895 31.0233 2.429218
98.2152 53.7701 2.429218
55.3647 9.0137 2.429218
54.6523 25.2022 2.429218
97.0347 92.0258 2.429218
54.2786 24.4277 2.429218
103.8062 50.1176 2.429218
93.9444 64.9 2.429218
75.5201 48.6107 2.429218
24.5208 1.7631 2.429218
85.9154 51.5363 2.429218
92.8209 56.9207 2.429218
22.8581 29.0039 2.429218
89.835 77.746 2.429218
48.6326 32.1618 2.429218
35.4152 92.5489 2.429218
30.7482 95.8761 2.429218
92.0851 66.8651 2.429218
9.6606 65.5604 2.429218
92.6699 80.64 2.429218
74.8417 48.5823 2.429218
63.3607 23.5913 2.429218
52.0306 12.0787 2.429218
25.9081 14.4892 2.429218
45.985 27.4123 2.429218
14.5018 68.1646 2.429218
95.9481 74.251 2.429218
-3.1358 95.2162 2.429218
33.1686 108.6172 2.429218
10.7344 66.9849 2.429218
103.8959 45.4099 2.429218
88.0225 60.7529 2.429218
66.949 50.6855 2.429218
54.8257 29.6059 2.429218
32.697 74.6737 2.429218
42.9285 106.2179 2.429218
97.5519 44.8528 2.429218
61.1622 34.1592 2.429218
98.9119 80.0767 2.429218
55.8132 15.4408 2.429218
56.047 -0.6998 2.429218
93.4941 85.8189 2.429218
85.065 35.2948 2.429218
95.4289 57.3916 2.429218
47.4903 33.2139 2.429218
47.2412 18.0641 2.429218
27.1736 83.2653 2.429218
91.86 79.7087 2.429218
54.5895 27.7676 2.429218
6.0914 73.9114 2.429218
91.1842 48.1207 2.429218
99.5987 51.3246 2.429218
33.6244 92.4492 2.429218
66.9624 36.7077 2.429218
21.3113 31.7798 2.429218
38.2186 96.6747 2.429218
85.1876 33.113 2.429218
37.9917 90.5379 2.429218
47.9603 31.0225 2.429218
26.4587 69.6793 2.429218
50.5738 30.8854 2.429218
100.5275 34.9543 2.429218
1.1743 92.9818 2.429218
96.6284 43.246 2.429218
6.6564 74.2265 2.429218
98.5933 78.8152 2.429218
17.7323 26.9057 2.429218
58.2741 0.1622 2.429218
104.1728 96.9352 2.429218
44.7075 13.3055 2.429218
35.7224 107.36 2.429218
93.9524 73.145 2.429218
98.0763 43.3554 2.429218
46.684 28.1154 2.429218
20.8129 26.0745 2.429218
99.0651 51.1078 2.429218
87.5583 39.2312 2.429218
56.6752 3.9284 2.429218
64.9829 35.6055 2.429218
58.3955 -2.2935 2.429218
105.5782 30.6326 2.429218
22.0744 6.6433 2.429218
106.8535 30.7643 2.429218
95.7576 96.9635 2.429218
42.4155 0.0668 2.429218
58.2864 0.0731 2.429218
45.0704 101.2748 2.429218
73.6428 45.1426 2.429218
70.0624 50.1219 2.429218
59.4358 8.0877 2.429218
103.8313 82.5056 2.429218
103.0838 43.6629 2.429218
46.213 15.3079 2.429218
41.599 92.4813 2.429218
23.1689 25.59 2.429218
36.4279 -4.3699 2.429218
98.9301 33.2654 2.429218
42.0978 97.503 2.429218
22.4229 -2.1641 2.429218
99.9754 58.6633 2.429218
66.2863 51.2705 2.429218
80.8076 41.6004 2.429218
49.1677 19.2175 2.429218
0.6138 95.4238 2.429218
1.6453 95.7178 2.429218
24.4797 75.354 2.429218
101.583 94.8217 2.429218
95.8908 32.6754 2.429218
58.0726 3.0503 2.429218
29.9497 8.0977 2.429218
12.0877 66.3858 2.429218
102.0152 42.2262 2.429218
9.4578 72.6847 2.429218
61.1452 36.2851 2.429218
