317
169.3 405.5
6.3 7.1 8.268
9.4 7.1 8.268
14.2 37 8.268
17.3 127.6 8.268
20.5 121.3 8.268
21.3 6.9 8.268
24.4 6.9 8.268
27.6 63 8.268
28.3 73.2 8.268
36.2 6.9 8.268
39.4 6.9 8.268
44.9 37 8.268
48 127.6 8.268
51.2 121.3 8.268
52.8 15.7 8.268
58.3 63 8.268
59.1 73.2 8.268
63.8 65.4 8.268
63.8 49.6 8.268
63.8 31.4 8.268
63.8 14.2 8.268
66.9 14.2 8.268
67.7 31.5 8.268
67.7 49.6 8.268
67.7 65.4 8.268
70.9 65.4 8.268
70.9 49.6 8.268
70.9 31.5 8.268
70.1 14.2 8.268
76.4 22 8.268
81.1 18.9 8.268
84.3 17.3 8.268
85.8 37 8.268
89 127.6 8.268
92.1 121.3 8.268
99.2 63 8.268
100 73.2 8.268
119.7 127.6 8.268
122.8 121.3 8.268
127.6 20.5 8.268
129.9 63 8.268
130.7 73.2 8.268
136.2 65.4 8.268
136.2 49.6 8.268
136.2 29.1 8.268
142.5 65.4 8.268
142.5 49.6 8.268
142.5 29.1 8.268
141.7 17.3 8.268
148.8 29.1 8.268
148.8 49.6 8.268
148.8 65.4 8.268
155.1 65.4 8.268
155.1 49.6 8.268
155.1 29.1 8.268
161.4 29.1 8.268
161.4 49.6 8.268
161.4 65.4 8.268
173.2 18.9 8.268
181.1 127.6 8.268
184.3 121.3 8.268
191.3 63 8.268
192.1 73.2 8.268
208.7 37 8.268
211.8 127.6 8.268
215 121.3 8.268
218.9 20.5 8.268
222 18.9 8.268
222 63 8.268
222.8 73.2 8.268
224.4 14.2 8.268
227.6 31.5 8.268
227.6 49.6 8.268
227.6 65.4 8.268
231.5 65.4 8.268
231.5 49.6 8.268
231.5 31.5 8.268
233.1 14.2 8.268
234.6 31.5 8.268
234.6 49.6 8.268
234.6 65.4 8.268
236.2 14.2 8.268
240.2 15.7 8.268
240.2 22 8.268
248 14.2 8.268
249.6 37 8.268
252.8 127.6 8.268
255.9 121.3 8.268
263 63 8.268
263.8 73.2 8.268
275.6 6.9 8.268
278.7 6.9 8.268
280.3 37 8.268
283.5 127.6 8.268
286.6 121.3 8.268
290.6 6.9 8.268
293.7 6.9 8.268
293.7 63 8.268
294.5 73.2 8.268
301.6 127.6 8.268
305.5 6.9 8.268
308.7 6.9 8.268
60.6 22 8.268
116.5 37 8.268
178 37 8.268
6.3 140.2 8.268
9.4 140.2 8.268
14.2 170.1 8.268
17.3 260.7 8.268
20.5 254.4 8.268
21.3 140 8.268
24.4 140 8.268
27.6 196.1 8.268
28.3 206.3 8.268
36.2 140 8.268
39.4 140 8.268
44.9 170.1 8.268
48 260.7 8.268
51.2 254.4 8.268
52.8 148.8 8.268
58.3 196.1 8.268
59.1 206.3 8.268
63.8 198.5 8.268
63.8 182.7 8.268
63.8 164.5 8.268
63.8 147.3 8.268
66.9 147.3 8.268
67.7 164.6 8.268
67.7 182.7 8.268
67.7 198.5 8.268
70.9 198.5 8.268
70.9 182.7 8.268
70.9 164.6 8.268
70.1 147.3 8.268
76.4 155.1 8.268
81.1 152 8.268
84.3 150.4 8.268
85.8 170.1 8.268
89 260.7 8.268
92.1 254.4 8.268
99.2 196.1 8.268
100 206.3 8.268
119.7 260.7 8.268
122.8 254.4 8.268
127.6 153.6 8.268
129.9 196.1 8.268
130.7 206.3 8.268
136.2 198.5 8.268
136.2 182.7 8.268
136.2 162.2 8.268
142.5 198.5 8.268
142.5 182.7 8.268
142.5 162.2 8.268
141.7 150.4 8.268
148.8 162.2 8.268
148.8 182.7 8.268
148.8 198.5 8.268
155.1 198.5 8.268
155.1 182.7 8.268
155.1 162.2 8.268
161.4 162.2 8.268
161.4 182.7 8.268
161.4 198.5 8.268
173.2 152 8.268
181.1 260.7 8.268
184.3 254.4 8.268
191.3 196.1 8.268
192.1 206.3 8.268
208.7 170.1 8.268
211.8 260.7 8.268
215 254.4 8.268
218.9 153.6 8.268
222 152 8.268
222 196.1 8.268
222.8 206.3 8.268
224.4 147.3 8.268
227.6 164.6 8.268
227.6 182.7 8.268
227.6 198.5 8.268
231.5 198.5 8.268
231.5 182.7 8.268
231.5 164.6 8.268
233.1 147.3 8.268
234.6 164.6 8.268
234.6 182.7 8.268
234.6 198.5 8.268
236.2 147.3 8.268
240.2 148.8 8.268
240.2 155.1 8.268
248 147.3 8.268
249.6 170.1 8.268
252.8 260.7 8.268
255.9 254.4 8.268
263 196.1 8.268
263.8 206.3 8.268
275.6 140 8.268
278.7 140 8.268
280.3 170.1 8.268
283.5 260.7 8.268
286.6 254.4 8.268
290.6 140 8.268
293.7 140 8.268
293.7 196.1 8.268
294.5 206.3 8.268
301.6 260.7 8.268
305.5 140 8.268
308.7 140 8.268
60.6 155.1 8.268
116.5 170.1 8.268
178 170.1 8.268
6.3 273.3 8.268
9.4 273.3 8.268
14.2 303.2 8.268
17.3 393.8 8.268
20.5 387.5 8.268
21.3 273.1 8.268
24.4 273.1 8.268
27.6 329.2 8.268
28.3 339.4 8.268
36.2 273.1 8.268
39.4 273.1 8.268
44.9 303.2 8.268
48 393.8 8.268
51.2 387.5 8.268
52.8 281.9 8.268
58.3 329.2 8.268
59.1 339.4 8.268
63.8 331.6 8.268
63.8 315.8 8.268
63.8 297.6 8.268
63.8 280.4 8.268
66.9 280.4 8.268
67.7 297.7 8.268
67.7 315.8 8.268
67.7 331.6 8.268
70.9 331.6 8.268
70.9 315.8 8.268
70.9 297.7 8.268
70.1 280.4 8.268
76.4 288.2 8.268
81.1 285.1 8.268
84.3 283.5 8.268
85.8 303.2 8.268
89 393.8 8.268
92.1 387.5 8.268
99.2 329.2 8.268
100 339.4 8.268
119.7 393.8 8.268
122.8 387.5 8.268
127.6 286.7 8.268
129.9 329.2 8.268
130.7 339.4 8.268
136.2 331.6 8.268
136.2 315.8 8.268
136.2 295.3 8.268
142.5 331.6 8.268
142.5 315.8 8.268
142.5 295.3 8.268
141.7 283.5 8.268
148.8 295.3 8.268
148.8 315.8 8.268
148.8 331.6 8.268
155.1 331.6 8.268
155.1 315.8 8.268
155.1 295.3 8.268
161.4 295.3 8.268
161.4 315.8 8.268
161.4 331.6 8.268
173.2 285.1 8.268
181.1 393.8 8.268
184.3 387.5 8.268
191.3 329.2 8.268
192.1 339.4 8.268
208.7 303.2 8.268
211.8 393.8 8.268
215 387.5 8.268
218.9 286.7 8.268
222 285.1 8.268
222 329.2 8.268
222.8 339.4 8.268
224.4 280.4 8.268
227.6 297.7 8.268
227.6 315.8 8.268
227.6 331.6 8.268
231.5 331.6 8.268
231.5 315.8 8.268
231.5 297.7 8.268
233.1 280.4 8.268
234.6 297.7 8.268
234.6 315.8 8.268
234.6 331.6 8.268
236.2 280.4 8.268
240.2 281.9 8.268
240.2 288.2 8.268
248 280.4 8.268
249.6 303.2 8.268
252.8 393.8 8.268
255.9 387.5 8.268
263 329.2 8.268
263.8 339.4 8.268
275.6 273.1 8.268
278.7 273.1 8.268
280.3 303.2 8.268
283.5 393.8 8.268
286.6 387.5 8.268
290.6 273.1 8.268
293.7 273.1 8.268
293.7 329.2 8.268
294.5 339.4 8.268
301.6 393.8 8.268
305.5 273.1 8.268
308.7 273.1 8.268
60.6 288.2 8.268
116.5 303.2 8.268
178 303.2 8.268
141.7 -7.9 8.268
149.6 -7.9 8.268
