99
2.78 1.65
29.95 2.64 3.899
2.02 2.33 3.899
9.81 8.48 3.899
13.46 4.08 3.899
7.81 6.7 3.899
10.09 10.01 3.899
29.27 17.77 3.899
29.82 9.49 3.899
5.55 11.21 3.899
4.64 13.02 3.899
34.52 6.37 3.899
5.71 19.82 3.899
26.56 1.28 3.899
16.23 17.23 3.899
20.67 6.94 3.899
17.25 9.27 3.899
36 4.59 3.899
11.09 11.96 3.899
3.66 3.39 3.899
7.78 12.82 3.899
3.86 16.16 3.899
39.18 12.17 3.899
33.32 10.49 3.899
25.97 3.49 3.899
8.11 12.95 3.899
2.41 10.69 3.899
26.58 3.6 3.899
3.94 19.44 3.899
37.86 18.62 3.899
2.64 0.36 3.899
20.5 18.33 3.899
35.38 1.25 3.899
16.46 18.17 3.899
29.93 6.24 3.899
5.47 0.25 3.899
33.73 19.02 3.899
4.6 2.67 3.899
30.6 7.81 3.899
18.28 4.56 3.899
10.21 9.62 3.899
23.47 3.88 3.899
35.35 11.12 3.899
15.29 5.81 3.899
12.03 3.85 3.899
17.87 19.02 3.899
27.4 11.01 3.899
5.55 17.53 3.899
0.47 3.63 3.899
39.35 5.4 3.899
30.62 3.29 3.899
3.87 1.99 3.899
29.01 9.2 3.899
9.31 5.12 3.899
17.66 6.92 3.899
4.01 9.8 3.899
1.49 16.29 3.899
22.14 19.77 3.899
38.05 16.19 3.899
11.79 9.69 3.899
10.17 3.33 3.899
28.34 15.12 3.899
6.34 2.94 3.899
18.19 8.14 3.899
13.93 8.59 3.899
17.68 15.78 3.899
30.23 8.71 3.899
32.48 19.06 3.899
16.32 17.42 3.899
22.23 9.9 3.899
38.68 6.97 3.899
15.41 3.54 3.899
23.74 19.44 3.899
19.62 3.89 3.899
30.07 15.24 3.899
32.2 19.45 3.899
23.56 15.68 3.899
16.04 7.06 3.899
20.28 17.36 3.899
25.81 1.21 3.899
22.21 15.78 3.899
29.44 6.32 3.899
10.82 15.61 3.899
9.97 9.42 3.899
23.34 5.23 3.899
12.64 10.9 3.899
16.99 12.94 3.899
2.35 10.59 3.899
25.92 2.48 3.899
36.42 6.99 3.899
35.99 5.14 3.899
17.66 6.78 3.899
2.4 6.19 3.899
12.72 2.46 3.899
35.03 3.01 3.899
0.8 15.33 3.899
16.77 12.38 3.899
37.66 1.54 3.899
39.46 4.59 3.899
19.94 18.52 3.899
