441
0 0
2 4 3.8
2 5 3.8
2 6 3.8
2 7 3.8
2 8 3.8
2 9 3.8
2 10 3.8
2 11 3.8
2 12 3.8
2 13 3.8
2 14 3.8
2 15 3.8
2 16 3.8
2 17 3.8
2 18 3.8
2 19 3.8
2 20 3.8
2 21 3.8
2 22 3.8
2 23 3.8
2 24 3.8
2 25 3.8
2 26 3.8
2 27 3.8
2 28 3.8
2 29 3.8
2 30 3.8
2 31 3.8
2 32 3.8
2 33 3.8
2 34 3.8
2 35 3.8
2 36 3.8
3 4 3.8
3 5 3.8
3 6 3.8
3 7 3.8
3 8 3.8
3 9 3.8
3 10 3.8
3 11 3.8
3 12 3.8
3 13 3.8
3 14 3.8
3 15 3.8
3 16 3.8
3 17 3.8
3 18 3.8
3 19 3.8
3 20 3.8
3 21 3.8
3 22 3.8
3 23 3.8
3 24 3.8
3 25 3.8
3 26 3.8
3 27 3.8
3 28 3.8
3 29 3.8
3 30 3.8
3 31 3.8
3 32 3.8
3 33 3.8
3 34 3.8
3 35 3.8
4 4 3.8
4 5 3.8
4 6 3.8
4 7 3.8
4 8 3.8
4 9 3.8
4 10 3.8
4 11 3.8
4 12 3.8
4 13 3.8
4 14 3.8
4 15 3.8
4 16 3.8
4 17 3.8
4 18 3.8
4 19 3.8
4 20 3.8
4 21 3.8
4 22 3.8
4 23 3.8
4 24 3.8
4 25 3.8
4 26 3.8
4 27 3.8
4 28 3.8
4 29 3.8
4 30 3.8
4 31 3.8
4 32 3.8
4 33 3.8
4 34 3.8
4 35 3.8
4 36 3.8
5 15 3.8
5 18.3 3.8
5 31 3.8
6 4 3.8
7 3 3.8
7 6 3.8
7 15 3.8
7 16 3.8
7 18 3.8
7 21 3.8
7 24 3.8
7 27 3.8
7 30 3.8
7 33 3.8
7 36 3.8
8 3 3.8
8 6 3.8
8 10.3 3.8
8 15 3.8
8 18 3.8
8 21 3.8
8 24 3.8
8 26 3.8
8 27 3.8
8 30 3.8
8 33 3.8
8 36 3.8
9 3 3.8
9 6 3.8
9 15 3.8
9 18 3.8
9 21 3.8
9 24 3.8
9 27 3.8
9 30 3.8
9 33 3.8
9 36 3.8
10 3 3.8
10 6 3.8
10 11 3.8
10 15 3.8
10 16.3 3.8
10 18 3.8
10 21 3.8
10 24 3.8
10 26 3.8
10 27 3.8
10 30 3.8
10 33 3.8
10 36 3.8
11 3 3.8
11 6 3.8
11 7 3.8
11 9 3.8
11 15 3.8
11 18 3.8
11 21 3.8
11 24 3.8
11 27 3.8
11 30 3.8
11 33 3.8
11 36 3.8
12 3 3.8
12 6 3.8
12 15 3.8
12 17 3.8
12 18 3.8
12 21 3.8
12 24 3.8
12 27 3.8
12 30 3.8
