399
2.28315 35.5085
43.5841 58.7522 29.865927
60.2539 80.1704 29.865927
86.1563 95.4019 29.865927
44.4217 55.3301 29.865927
79.6042 79.6519 29.865927
8.89064 83.8954 29.865927
23.3569 85.0798 29.865927
47.6864 20.3976 29.865927
40.6271 60.1839 29.865927
95.4573 78.5053 29.865927
59.3326 96.8644 29.865927
94.61 43.2995 29.865927
8.30742 60.1487 29.865927
86.1254 75.412 29.865927
24.7619 69.8637 29.865927
96.3227 96.5824 29.865927
12.5872 53.6987 29.865927
56.3237 2.07366 29.865927
5.5259 61.9092 29.865927
69.1414 57.6653 29.865927
23.7167 70.7298 29.865927
58.3448 60.9201 29.865927
40.4171 94.2218 29.865927
1.5771 61.4642 29.865927
2.00806 6.28968 29.865927
19.6656 61.3862 29.865927
91.3249 42.8902 29.865927
82.834 58.4111 29.865927
4.96047 4.06059 29.865927
27.1361 73.6904 29.865927
97.9153 71.697 29.865927
48.9418 95.7946 29.865927
81.7106 28.112 29.865927
33.2771 46.652 29.865927
27.8353 94.5623 29.865927
16.854 97.4806 29.865927
80.6139 53.7748 29.865927
44.5404 30.686 29.865927
30.6696 55.2626 29.865927
55.5492 35.9315 29.865927
15.6444 17.8995 29.865927
14.0141 70.4084 29.865927
96.3235 44.2629 29.865927
46.0829 25.5503 29.865927
38.5534 48.7846 29.865927
93.1464 19.8146 29.865927
27.9893 89.6021 29.865927
33.1283 92.3481 29.865927
3.35356 88.986 29.865927
51.1528 6.04103 29.865927
23.2874 32.7742 29.865927
87.0562 74.7862 29.865927
12.6307 2.70835 29.865927
2.57158 38.4711 29.865927
55.099 31.771 29.865927
42.1545 66.9856 29.865927
69.9395 64.1832 29.865927
3.06059 88.1315 29.865927
48.6626 98.7924 29.865927
54.7886 87.0165 29.865927
76.419 22.7841 29.865927
48.934 88.5471 29.865927
90.8764 48.3318 29.865927
19.5225 82.1483 29.865927
17.1854 11.1942 29.865927
59.9164 58.75 29.865927
13.2524 50.7626 29.865927
32.7208 86.88 29.865927
26.7929 78.8352 29.865927
79.2919 13.6517 29.865927
15.6993 18.7479 29.865927
18.6101 90.3489 29.865927
74.5996 81.8744 29.865927
67.267 14.1516 29.865927
79.5061 49.6701 29.865927
29.8827 79.684 29.865927
9.16001 37.8018 29.865927
91.7898 10.5225 29.865927
37.0272 27.4581 29.865927
78.9206 73.8168 29.865927
80.035 15.8589 29.865927
74.8357 53.7031 29.865927
48.6979 8.85907 29.865927
14.8737 9.51072 29.865927
23.1984 1.0131 29.865927
97.2905 22.0419 29.865927
4.056 25.9589 29.865927
19.247 29.2712 29.865927
2.40393 50.9808 29.865927
31.6686 31.1822 29.865927
49.4944 16.327 29.865927
52.5118 68.1256 29.865927
83.5669 88.2708 29.865927
77.5205 18.1054 29.865927
10.9477 2.73525 29.865927
65.3011 67.1869 29.865927
62.8285 19.7058 29.865927
0.194865 71.2335 29.865927
73.064 44.6995 29.865927
58.0371 93.3465 29.865927
37.7453 86.3505 29.865927
25.8125 25.1372 29.865927
65.9297 69.3415 29.865927
70.0979 43.9308 29.865927
80.1207 32.7664 29.865927
75.5117 58.1702 29.865927
16.8354 77.4785 29.865927
60.771 67.3196 29.865927
56.9788 35.9946 29.865927
50.5772 79.5094 29.865927
69.2786 47.5055 29.865927
61.5258 41.6034 29.865927
43.3068 85.4106 29.865927
22.6997 14.9199 29.865927
32.641 61.5676 29.865927
75.6359 99.7073 29.865927
17.5187 55.1629 29.865927
20.7262 75.308 29.865927
12.7313 98.6134 29.865927
24.5176 59.5849 29.865927
36.8488 32.2474 29.865927
61.8453 80.8454 29.865927
28.4623 90.5817 29.865927
34.7487 93.2543 29.865927
94.2046 73.3577 29.865927
92.3029 41.017 29.865927
15.3759 23.0999 29.865927
47.6331 25.3181 29.865927
23.2085 58.8069 29.865927
43.9629 81.9344 29.865927
