76
100 100
60 55 10
60 65 10
60 75 10
60 85 10
60 95 10
60 105 10
60 115 10
60 125 10
60 135 10
60 145 10
150 55 10
150 65 10
150 75 10
150 85 10
150 95 10
150 105 10
150 115 10
150 125 10
150 135 10
150 145 10
70 145 10
80 145 10
90 145 10
100 145 10
110 145 10
120 145 10
130 145 10
140 145 10
70 55 10
80 55 10
90 55 10
100 55 10
110 55 10
120 55 10
130 55 10
140 55 10
50 45 10
50 55 10
50 65 10
50 75 10
50 85 10
50 95 10
50 105 10
50 115 10
50 125 10
50 135 10
50 145 10
50 155 10
60 45 10
70 45 10
80 45 10
90 45 10
100 45 10
110 45 10
120 45 10
130 45 10
140 45 10
150 45 10
140 65 10
140 75 10
140 85 10
140 95 10
140 105 10
140 115 10
140 125 10
140 135 10
150 155 10
140 155 10
130 155 10
120 155 10
110 155 10
100 155 10
90 155 10
80 155 10
70 155 10
60 155 10
