36
100 100
100 90 3
104 90.8348486101 3
107 92.8585715715 3
109.4 96.5882555782 3
110 100 3
109.4 103.4117444218 3
107 107.1414284285 3
104 109.1651513899 3
100 110 3
96 109.1651513899 3
93 107.1414284285 3
90.6 103.4117444218 3
90 100 3
90.6 96.5882555782 3
93 92.8585715715 3
96 90.8348486101 3
100 80 3
107 81.2650060048 3
110 82.6794919243 3
115.5 87.3607753402 3
117.5 90.3175416345 3
120 100 3
117.5 109.6824583655 3
115.5 112.6392246598 3
110 117.3205080757 3
107 118.7349939952 3
100 120 3
93 118.7349939952 3
90 117.3205080757 3
84.5 112.6392246598 3
82.5 109.6824583655 3
80 100 3
82.5 90.3175416345 3
84.5 87.3607753402 3
90 82.6794919243 3
93 81.2650060048 3
