104
100 100
100 90 3
104 90.8348486101 3
107 92.8585715715 3
109.4 96.5882555782 3
110 100 3
109.4 103.4117444218 3
107 107.1414284285 3
104 109.1651513899 3
100 110 3
96 109.1651513899 3
93 107.1414284285 3
90.6 103.4117444218 3
90 100 3
90.6 96.5882555782 3
93 92.8585715715 3
96 90.8348486101 3
100 80 3
107 81.2650060048 3
110 82.6794919243 3
115.5 87.3607753402 3
117.5 90.3175416345 3
120 100 3
117.5 109.6824583655 3
115.5 112.6392246598 3
110 117.3205080757 3
107 118.7349939952 3
100 120 3
93 118.7349939952 3
90 117.3205080757 3
84.5 112.6392246598 3
82.5 109.6824583655 3
80 100 3
82.5 90.3175416345 3
84.5 87.3607753402 3
90 82.6794919243 3
93 81.2650060048 3
100 70 3
112 72.5045458303 3
115 74.0192378865 3
124.5 82.6867103068 3
126 85.0333704529 3
129.7 95.7679792061 3
130 100 3
129.7 104.2320207939 3
126 114.9666295471 3
124.5 117.3132896932 3
115 125.9807621135 3
112 127.4954541697 3
100 130 3
88 127.4954541697 3
85 125.9807621135 3
76.5 117.3132896932 3
74 114.9666295471 3
70.3 104.2320207939 3
70 100 3
70.3 95.7679792061 3
74 85.0333704529 3
76.5 82.6867103068 3
85 74.0192378865 3
88 72.5045458303 3
100 60 3
104 60.2005025157 3
115.5 63.125211865 3
119 64.8005681864 3
122.5 66.9281086117 3
129 72.4500453721 3
131.5 75.3474139288 3
134 78.9286924943 3
137.7 86.6317540418 3
138.5 89.1487327929 3
139.1 91.5625833337 3
140 100 3
139.1 108.4374166663 3
138.5 110.8512672071 3
137.7 113.3682459582 3
134 121.0713075057 3
131.5 124.6525860712 3
129 127.5499546279 3
122.5 133.0718913883 3
119 135.1994318136 3
115.5 136.874788135 3
104 139.7994974843 3
100 140 3
96 139.7994974843 3
84.5 136.874788135 3
81 135.1994318136 3
77.5 133.0718913883 3
71 127.5499546279 3
68.5 124.6525860712 3
66 121.0713075057 3
62.3 113.3682459582 3
61.5 110.8512672071 3
60.9 108.4374166663 3
60 100 3
60.9 91.5625833337 3
61.5 89.1487327929 3
62.3 86.6317540418 3
66 78.9286924943 3
68.5 75.3474139288 3
71 72.4500453721 3
77.5 66.9281086117 3
81 64.8005681864 3
84.5 63.125211865 3
96 60.2005025157 3
