200
19.5535 32.6157
70.55475 53.342402 20
57.95186 28.956245 20
30.1948 77.47401 20
1.401765 76.07236 20
81.449 70.90379 20
4.535275 41.40327 20
86.26193 79.048 20
37.353615 96.195315 20
87.144585 5.62369 20
94.955665 36.40187 20
52.486843 76.711165 20
5.35045 59.245825 20
46.870011 29.816545 20
62.26967 64.78212 20
26.379295 27.934205 20
82.980165 82.460215 20
58.9163 98.60932 20
91.09643 22.6866 20
69.51155 98.000325 20
24.393135 53.387308 20
10.636965 99.941455 20
67.61759 1.570395 20
57.51838 10.00522 20
10.302265 79.88844 20
28.448025 4.56492 20
29.577285 38.20107 20
30.09705 94.85711 20
97.982935 40.137435 20
27.827995 16.04415 20
16.28216 64.658715 20
41.00732 41.27668 20
71.273045 32.62062 20
63.31789 20.756115 20
18.601355 58.3359 20
8.071465 45.7971455 20
90.572985 26.136825 20
78.52122 37.890255 20
28.966505 91.93771 20
63.17424 62.764205 20
42.845635 9.79738 20
56.10401 69.44853 20
91.37176 83.481715 20
2.26292 54.336059 20
91.6164 43.026115 20
67.794775 0.2453923 20
51.37375 46.298003 20
35.347265 40.483415 20
26.97316 5.55935 20
24.384515 97.907795 20
6.091625 39.029145 20
36.49954 48.989475 20
15.566305 47.445917 20
25.726765 62.875185 20
54.207021 15.63022 20
93.854515 65.44994 20
50.608737 39.047145 20
10.737535 78.399525 20
45.96408 75.36881 20
59.609455 83.27302 20
1.875835 21.036865 20
7.39533 10.545265 20
33.169445 12.82499 20
0.024125 3.6794065 20
65.705495 54.4013975 20
82.741185 8.18936 20
19.19225 67.891335 20
45.420784 35.70231 20
14.99811 70.439575 20
92.878595 53.021252 20
8.96414 75.77293 20
40.184205 46.1874365 20
49.216563 20.76273 20
32.973595 9.54291 20
58.979255 16.987345 20
92.761655 9.792985 20
44.38625 27.294685 20
87.254685 75.06877 20
27.294235 67.36467 20
25.662895 8.989655 20
3.09506 32.271765 20
79.01289 29.7258 20
23.528225 48.047471 20
25.46019 34.06066 20
4.493385 48.2428075 20
20.60172 86.45345 20
58.86286 75.490835 20
92.788305 33.10169 20
54.294115 8.069135 20
63.437195 41.00367 20
96.04228 11.46233 20
92.344515 62.02096 20
34.77264 14.924575 20
47.997827 21.94091 20
99.37313 13.042045 20
2.888575 34.539165 20
54.766852 92.295455 20
53.824634 40.64213 20
84.72455 82.62255 20
67.24276 72.18951 20
99.67714 33.98061 20
49.52113 41.29678 20
69.52818 17.90893 20
42.291825 54.317701 20
81.466395 54.091358 20
42.753335 50.906813 20
22.77816 61.91876 20
48.983044 68.08194 20
88.660005 37.051535 20
30.249755 29.28668 20
15.031135 2.9821155 20
22.32618 58.45293 20
36.34587 87.597465 20
47.801417 19.06334 20
68.40623 74.741575 20
61.393495 78.21387 20
16.17437 80.77798 20
20.26183 95.676245 20
6.5851 6.152225 20
79.319755 37.96047 20
46.358401 11.954405 20
11.54701 17.37734 20
4.81189 71.48163 20
53.302235 56.10093 20
21.673354 6.8005655 20
74.635475 75.231085 20
39.89323 90.309885 20
74.60069 8.85595 20
63.457115 71.302795 20
1.56824 43.114435 20
40.19826 27.52955 20
98.53739 80.25874 20
69.610075 41.75992 20
73.44882 27.71684 20
35.65863 43.345715 20
94.4971 12.154995 20
64.595135 34.78327 20
10.44323 18.54025 20
7.76847 43.27595 20
95.92709 54.202926 20
49.437672 97.29667 20
21.779985 37.899125 20
39.58443 28.150345 20
50.337118 13.87323 20
51.725585 96.536445 20
55.7501 90.920415 20
65.72564 44.111465 20
69.299455 6.449115 20
75.60926 70.05143 20
49.707097 15.54357 20
22.373755 32.6144 20
78.44886 5.02628 20
51.801592 75.702955 20
80.066985 32.520545 20
97.272905 80.426715 20
67.48261 90.51293 20
87.57797 41.66484 20
12.30828 95.415795 20
79.72973 69.6285 20
40.16046 1.62977 20
16.776285 16.423415 20
50.972003 40.60627 20
10.613375 27.61233 20
64.30468 84.91 20
49.796921 18.777515 20
89.661665 37.28143 20
32.35548 77.08328 20
21.800035 44.699325 20
23.602775 87.83846 20
61.04328 37.44322 20
38.950185 86.058925 20
58.59379 93.155945 20
51.719243 33.03008 20
86.845365 25.906095 20
25.954135 17.869355 20
34.695715 0.250565 20
74.234205 84.088705 20
27.85894 70.297015 20
40.48646 81.157135 20
74.17807 43.76639 20
7.79806 41.063165 20
33.93752 71.055425 20
31.22881 79.877355 20
15.17562 59.299125 20
95.62369 24.314785 20
93.997115 11.43328 20
98.425325 63.29758 20
59.88564 90.256965 20
57.48649 24.517395 20
86.016245 7.495035 20
43.88264 75.9979 20
24.567885 37.86062 20
39.724355 52.657318 20
27.03592 58.11764 20
20.9699 7.87089 20
89.544625 11.14329 20
65.23767 90.033385 20
23.159665 94.99055 20
84.61874 44.121625 20
49.200624 76.95068 20
83.48933 38.25693 20
