300
23.55 20.83
44.75 90.08 7
82.42 49.99 7
2.01 79.01 7
25.84 61.09 7
88.21 3.61 7
24.47 65.24 7
5.07 73.15 7
85.76 19.27 7
64.87 11.36 7
43.21 42.61 7
49.78 61.48 7
51.38 10.51 7
23.55 20.83 7
27.74 25.63 7
40.14 85.47 7
39.28 92.99 7
46.8 93.43 7
48.98 92.03 7
37.93 93.92 7
39.31 87.14 7
42.37 92.45 7
40.14 88.25 7
47.67 92.59 7
47.56 92.03 7
37.88 93.16 7
49.11 94.31 7
49.91 91.9 7
48.89 93.1 7
39.7 88.73 7
41.11 92.55 7
47.08 88.26 7
45.57 93.71 7
46.89 94.85 7
47.48 94.9 7
46.92 92.94 7
42.93 88.78 7
39.18 94.86 7
38.99 86.42 7
41.11 86.33 7
38.36 90.43 7
48.42 91.53 7
48.25 85.26 7
48.68 92.55 7
42.78 91.87 7
38.08 89.48 7
40.13 86.48 7
50.91 90.3 7
44.33 87.3 7
51.75 85.81 7
85.78 45.37 7
86.88 55.34 7
92.82 43.5 7
90.93 51.78 7
89.33 46.23 7
84.47 44.91 7
85.43 53 7
91.08 56.32 7
89.59 51.88 7
85.21 44.35 7
92.92 45.3 7
92.59 46.16 7
87.26 54.53 7
92 48.8 7
93.86 49.11 7
92.09 44.08 7
85.02 48.75 7
89.36 56.03 7
84.47 48.16 7
89.11 45.94 7
88.92 43.62 7
87.56 46.99 7
87.92 47.46 7
85.85 46.49 7
8.95 75.43 7
3.44 75.58 7
0.76 80.97 7
2.99 72.09 7
6.62 72.96 7
6.36 80.44 7
1.21 81.97 7
4.15 75.92 7
1.36 82.41 7
0.97 75.78 7
10.66 76.44 7
8.29 81.45 7
2.19 82.13 7
4.75 76.37 7
8.06 78.36 7
8.6 80.56 7
0.91 72.43 7
11.23 82.6 7
21.75 55.19 7
30.85 54.39 7
23.78 67.37 7
23.5 55.84 7
23.19 66.22 7
30.36 58.14 7
19.65 58.2 7
86.46 7.15 7
90.71 5.35 7
90.14 0.74 7
86.71 7.9 7
84.21 1.15 7
84.57 2.19 7
90.45 0.18 7
84.22 4.25 7
84.85 7.49 7
85.18 6.81 7
91.86 5.09 7
83.5 4.83 7
89.81 1.33 7
83.98 4.24 7
86.49 3.97 7
87.06 2.89 7
90.79 7.27 7
83.08 5.9 7
83.63 6.61 7
85.34 3.13 7
83.08 6.85 7
24.03 65.56 7
20.64 65 7
28.77 62.05 7
23.52 71.05 7
26.5 63.44 7
20.88 59.51 7
25.86 63.85 7
25.24 60.77 7
27.64 62.78 7
27.4 59.84 7
25.01 63.12 7
27.62 60.61 7
22.17 64.94 7
22.51 60.15 7
27.28 65.47 7
28.86 67.84 7
27.36 59.94 7
24.49 66.27 7
26.15 61.96 7
21.39 62.71 7
20.56 61.44 7
25.62 68.98 7
24.86 66.05 7
22.65 62.2 7
20.35 68.75 7
8.67 72.77 7
21.49 69.2 7
19.86 66.11 7
4.8 88.51 7
28.95 69.72 7
1.01 87.83 7
21.99 57.15 7
24.25 76.66 7
4.21 66.53 7
28.82 81.78 7
35.58 76.06 7
30.83 54.42 7
37.85 53.76 7
12.82 66.49 7
27.18 54.04 7
39.42 71.54 7
36.6 82.94 7
23.47 70.49 7
16.79 62.67 7
35.46 90.5 7
21.1 78.12 7
13.36 65 7
24.2 92.42 7
35.37 65.99 7
11.74 69.17 7
16.99 78.36 7
12.14 56.76 7
12.07 80.14 7
34.79 81.57 7
31.99 67.74 7
27.35 82.24 7
11.18 57.92 7
58.75 56.63 7
92.92 88.46 7
2.57 49.67 7
70.7 73.7 7
72.93 73.7 7
