499
70 40
10.526 3.779 2
8.4009 11.7989 2
11.3126 12.1774 2
9.2095 19.5087 2
9.7281 5.4172 2
11.169 1.5527 2
19.7672 14.9362 2
2.2625 16.1551 2
11.8636 12.6991 2
13.2666 12.9678 2
5.0355 11.9367 2
8.6382 10.3371 2
14.5843 15.7568 2
3.5607 15.7968 2
15.42 17.0914 2
17.8934 15.1905 2
1.2192 5.9144 2
15.5961 8.5134 2
2.4773 0.052 2
16.5052 19.9903 2
4.024 17.3232 2
13.8628 4.3052 2
1.729 2.5191 2
4.8686 17.5054 2
18.8587 8.5087 2
9.9074 11.0867 2
8.0267 2.1019 2
8.65 19.7295 2
13.9396 19.5452 2
4.0211 5.0495 2
5.3173 19.9696 2
4.1301 7.1548 2
9.4253 3.1222 2
18.047 6.7045 2
19.0819 14.2893 2
19.3111 17.5672 2
14.7151 17.4542 2
16.6256 12.3206 2
18.6523 3.9117 2
16.2452 9.322 2
15.7685 10.3669 2
4.243 12.8676 2
15.4595 7.4752 2
18.2952 1.0836 2
2.6723 10.4123 2
1.5116 19.0597 2
1.2522 5.4022 2
0.7828 19.7397 2
14.7479 11.7757 2
19.5822 17.4941 2
13.7484 0.7577 2
9.9632 1.8111 2
13.2084 1.5682 2
2.785 16.9995 2
10.31 1.5005 2
3.6086 13.0876 2
15.3812 8.8682 2
0.4211 5.2548 2
16.1355 6.6685 2
18.0288 10.2093 2
5.4781 9.3534 2
11.5459 0.8736 2
10.6256 1.7583 2
12.9432 8.6486 2
12.295 19.9912 2
2.3396 12.8751 2
12.5256 4.7007 2
12.3192 17.7013 2
2.8757 1.3778 2
3.7626 17.1174 2
5.2006 6.8919 2
3.9756 4.3104 2
2.7247 6.6491 2
8.8668 5.4121 2
6.693 16.2603 2
3.8933 3.6617 2
2.4532 11.1564 2
3.9473 4.1638 2
8.098 10.1576 2
15.3264 12.7877 2
17.3372 11.1211 2
15.9493 16.7531 2
11.5168 3.287 2
5.4981 6.1028 2
1.4037 6.1535 2
9.0075 17.4052 2
8.9599 2.5066 2
5.6082 3.0104 2
12.8565 9.4609 2
4.753 19.8404 2
5.6246 7.277 2
14.8098 1.8409 2
10.2894 7.4847 2
12.6858 19.6571 2
12.1595 5.1953 2
2.5621 10.2967 2
19.0824 1.094 2
1.2646 1.8964 2
2.4914 14.471 2
45.5527 26.8832 2
49.5874 32.9921 2
20.821 23.0825 2
32.0319 48.7602 2
31.0932 49.2942 2
28.4876 46.0461 2
