441
0 0
2 4 6
2 5 3
2 6 0
2 7 1
2 8 4
2 9 0
2 10 3
2 11 7
2 12 1
2 13 4
2 14 7
2 15 1
2 16 7
2 17 5
2 18 5
2 19 5
2 20 4
2 21 3
2 22 0
2 23 3
2 24 5
2 25 3
2 26 2
2 27 6
2 28 4
2 29 1
2 30 3
2 31 3
2 32 3
2 33 4
2 34 0
2 35 0
2 36 1
3 4 7
3 5 3
3 6 3
3 7 3
3 8 5
3 9 2
3 10 6
3 11 2
3 12 4
3 13 6
3 14 6
3 15 4
3 16 4
3 17 1
3 18 2
3 19 2
3 20 4
3 21 3
3 22 5
3 23 5
3 24 3
3 25 6
3 26 2
3 27 6
3 28 1
3 29 2
3 30 2
3 31 3
3 32 1
3 33 1
3 34 5
3 35 3
4 4 4
4 5 4
4 6 1
4 7 7
4 8 7
4 9 1
4 10 0
4 11 5
4 12 0
4 13 2
4 14 4
4 15 6
4 16 5
4 17 1
4 18 3
4 19 1
4 20 1
4 21 2
4 22 2
4 23 1
4 24 4
4 25 4
4 26 3
4 27 1
4 28 6
4 29 3
4 30 5
4 31 0
4 32 4
4 33 4
4 34 5
4 35 5
4 36 1
5 15 0
5 18.3 4
5 31 1
6 4 3
7 3 1
7 6 5
7 15 0
7 16 5
7 18 7
7 21 3
7 24 6
7 27 2
7 30 5
7 33 3
7 36 6
8 3 2
8 6 4
8 10.3 5
8 15 3
8 18 5
8 21 6
8 24 6
8 26 2
8 27 3
8 30 5
8 33 4
8 36 2
9 3 6
9 6 1
9 15 5
9 18 6
9 21 1
9 24 5
9 27 6
9 30 2
9 33 1
9 36 5
10 3 4
10 6 7
10 11 1
10 15 2
10 16.3 5
10 18 3
10 21 4
10 24 4
10 26 4
10 27 5
10 30 1
10 33 0
10 36 1
11 3 1
11 6 1
11 7 2
11 9 5
11 15 1
11 18 1
11 21 2
11 24 5
11 27 5
11 30 7
11 33 4
11 36 6
12 3 2
12 6 3
12 15 6
12 17 6
12 18 6
12 21 4
12 24 5
12 27 3
12 30 1
12 33 4
12 36 4
13 3 6
13 6 5
13 7 3
13 11.3 4
13 15 1
13 18 5
13 21 4
13 22 1
13 24 5
13 27 7
13 30 5
13 33 6
13 36 6
14 3 3
14 6 1
14 9.3 7
14 15 1
14 18 2
14 20 5
14 21 7
14 24 5
14 25 3
14 27 1
14 28.2 3
14 29 1
14 30 0
14 33 4
14 36 7
15 15 7
15 18 7
15 19 3
15 21 6
15 24 4
15 27 6
15 28 3
15 28.6 6
15 30 7
15 33 6
15 36 3
16 11 5
16 13 6
16 15 5
16 18 4
16 21 3
16 24 0
16 27 7
16 30 7
16 33 2
16 36 4
17 12 3
17 15 6
17 18 2
17 21 1
17 24 2
17 36 5
18 3 5
18 6 5
18 12.3 3
18 15 6
18 18 3
18 21 1
18 24 6
19 3 5
19 6 1
19 30 4
19 35.2 6
20 3 5
20 3.7 1
20 6 5
20 8 6
20 9 6
20 10 1
20 11 1
20 12 5
20 13 1
20 14 6
20 15 2
20 16 7
20 17 3
20 18 1
20 19 2
20 20 1
20 21 2
20 22 2
20 23 7
20 24 4
20 25 5
20 26 4
20 27 3
20 28 2
20 29 7
20 30 3
20 31 6
20 35 2
21 3 4
21 6 5
21 32 6
22 3 4
22 4.7 1
22 6 3
22 32 7
23 3 6
23 6 2
23 34 0
24 3 5
24 6 5
24 21 1
25 3 3
25 8 7
26 4 2
26 5 6
26 8 2
26 9 5
26 10 1
26 11 6
26 12 5
26 13 5
26 14 1
26 15 5
26 16 3
26 17 1
26 18 5
26 19 5
26 20 2
26 21 4
26 22 3
26 23 6
26 24 3
26 25 1
26 26 7
26 27 6
26 28 3
26 29 5
26 30 7
26 31 1
26 34 7
27 7 6
27 8 4
27 9 6
27 10 6
27 11 6
27 12 4
27 13 0
27 14 2
27 15 7
27 16 0
27 17 1
27 18 3
27 19 5
27 20 2
27 21 4
27 22 2
27 23 3
27 25 2
27 26 3
27 27 7
27 28 1
27 29 3
27 30 6
27 31 3
27 32 7
27 33 0
27 34 2
27 35 3
27 36 1
27 37 6
27 38 4
28 9 4
28 11.3 1
29 4 2
29 5 1
29 14 5
29 24 1
29 30 7
30 7 5
30 8 4
30 9 2
30 10 6
30 11 1
30 12 0
30 13 1
30 15 4
30 16 0
30 17 2
30 18 6
30 19 5
30 20 1
30 21 6
30 22 4
30 23 5
30 25 4
30 26 1
30 27 0
30 28 6
30 29 1
30 30 7
30 31 4
30 32 1
30 33 5
30 34 3
30 35 2
30 36 3
30 37 1
30 38 7
1.5 35 1
1.5 35.5 1
4.7 25.5 1
4.7 33.5 6
4.7 34.5 0
5.4 23.3 6
5.4 24.3 5
6.2 36.5 3
6.2 37.1 3
7.5 25.5 3
8.5 5.2 4
8.5 7 1
8.5 22.8 7
9.4 7.4 0
9.5 22.2 7
9.1 26 5
10.5 10.5 7
11.5 13.5 2
11.7 22.8 3
12.2 22.1 5
13.5 7.5 1
13.5 17 0
13.5 21.4 3
14.5 7.7 4
15.5 3 1
15.5 5 4
15.5 18.5 5
16.5 10.5 6
16.9 26.8 1
17.1 3.1 6
17.1 5.1 2
17.5 7.5 6
17.9 25.8 5
17.2 26.1 6
17.9 33.3 0
17.2 34.1 1
18.3 27 5
18.3 28 7
18.3 34.5 1
20.6 16.5 2
20.5 31.5 4
21.7 19 0
21.1 20 4
21.2 27.5 0
21.5 32.5 7
22.9 14 1
22.2 28.2 3
22.8 32.5 7
23.9 13 1
23.2 15 6
24.5 7.1 2
26.2 36.5 3
27.5 5.2 6
27.6 23.6 7
28.5 22 6
28.5 27 2
28.5 33.5 5
29.3 9.5 1
29.5 17.5 5
29.5 20.5 0
5.2 32 3
23 35 6
23.2 31.5 2
5.3 21 5
25.5 7.1 7
7.5 4.9 0
